dataset,draw_design,species,hunt_program,row_count
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,,2026_PERMITS=2027_MODEL,14
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2019_PERMITS=2020_MODEL_REBUILT_FIXED,194
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2020_PERMITS=2021_MODEL_REBUILT_FIXED,200
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2021_PERMITS=2022_MODEL,200
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2022_PERMITS=2023_MODEL,192
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2023_PERMITS=2024_MODEL,192
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2024_PERMITS=2025_MODEL,192
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2025_PERMITS=2026_MODEL,194
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bear,2026_PERMITS=2027_MODEL,198
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2019_PERMITS=2020_MODEL_REBUILT_FIXED,30
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2020_PERMITS=2021_MODEL_REBUILT_FIXED,32
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2021_PERMITS=2022_MODEL,28
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2022_PERMITS=2023_MODEL,32
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2023_PERMITS=2024_MODEL,34
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2024_PERMITS=2025_MODEL,32
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2025_PERMITS=2026_MODEL,30
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Bison,2026_PERMITS=2027_MODEL,34
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Cougar,2019_PERMITS=2020_MODEL_REBUILT_FIXED,48
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Cougar,2020_PERMITS=2021_MODEL_REBUILT_FIXED,28
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Cougar,2021_PERMITS=2022_MODEL,20
data_truth\finalized_hunt_truth.csv,BONUS_SPLIT,Cougar,2022_PERMITS=2023_MODEL,18
