path,size_bytes,size_mb
.tmp_r2_test.csv,46220759,44.08
data/hunt_odds_history.csv,30693029,29.27
data/hunt_predictions.json,30054306,28.66
data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.kml,22520888,21.48
data_model/harvest_quality/harvest_results_all_years_long.csv,24881298,23.73
data_model/runtime_drafts/draw_reality_engine_v2.csv,44792285,42.72
data_model/runtime_drafts/draw_reality_engine_v2_rows_added.csv,34418796,32.82
data_model/runtime_drafts/hunt_master_enriched_v2.csv,23621424,22.53
data_model/runtime_drafts/point_ladder_missing_columns_audit.csv,14100188,13.45
data_model/runtime_drafts/point_ladder_view_v2.csv,44800057,42.72
data_model/runtime_drafts/point_ladder_view_v3.csv,21093626,20.12
data_model/runtime_drafts/predictive_bonus_engine_2026.materialized.csv,18989572,18.11
data_model/runtime_drafts/predictive_bonus_engine_2026.predictions.csv,18585491,17.72
data_model/validation/hunt_type_hunt_class_matrix_audit.csv,24457807,23.32
data_truth/comparison_outputs/database_candidate_review/database_candidate_review_records.csv,21773104,20.76
data_truth/draw_results_truth/normalized/draw_results_2021_for_2022_candidate_promotion_file_records.csv,16729020,15.95
data_truth/draw_results_truth/normalized/draw_results_2022_for_2023_candidate_promotion_file_records.csv,16184931,15.44
data_truth/draw_results_truth/normalized/draw_results_2023_for_2024_candidate_promotion_file_records.csv,35406132,33.77
data_truth/draw_results_truth/normalized/draw_results_2024_for_2025_candidate_promotion_file_records.csv,24674284,23.53
data_truth/harvest_results_truth/normalized/harvest_results_all_years_long.csv,24881298,23.73
data_truth/harvest_results_truth/normalized/harvest_supplemental_metrics_2024_for_2025_long.csv,21382728,20.39
hard-copy/pdf files/24_bg_HARVEST_report.pdf,14037480,13.39
processed_data/audits/hunt_research_2026_ladder_unclassified.csv,46064532,43.93
processed_data/audits/hunt_research_2026_ladder_unclassified_classifier_exact.csv,43967059,41.93
processed_data/audits/hunt_research_numeric_defect_audit.csv,12940279,12.34
processed_data/audits/prediction_engine_targeted_backfill_verification.csv,23862324,22.76
processed_data/backups/current_year_allotment_overlay_20260523_071315/draw_reality_engine.csv,13334737,12.72
processed_data/backups/current_year_allotment_overlay_20260523_071315/draw_reality_engine_predictive_v2.csv,20869142,19.9
processed_data/backups/current_year_allotment_overlay_20260523_071315/hunt_master_enriched.csv,24431046,23.3
processed_data/backups/current_year_allotment_overlay_20260523_071315/ml_draw_predictions_v1.csv,21458440,20.46
processed_data/backups/current_year_allotment_overlay_20260523_071315/point_ladder_view.csv,47928799,45.71
processed_data/backups/current_year_allotment_overlay_20260523_072611/draw_reality_engine_predictive_v2.csv,25254426,24.08
processed_data/backups/current_year_allotment_overlay_20260523_072611/ml_draw_predictions_v1.csv,25843730,24.65
processed_data/backups/current_year_allotment_overlay_20260523_075802/draw_reality_engine_predictive_v2.csv,25455643,24.28
processed_data/backups/current_year_allotment_overlay_20260523_075802/ml_draw_predictions_v1.csv,26051044,24.84
processed_data/backups/current_year_allotment_overlay_20260523_080750/draw_reality_engine_predictive_v2.csv,25455643,24.28
processed_data/backups/current_year_allotment_overlay_20260523_080750/ml_draw_predictions_v1.csv,26051044,24.84
processed_data/backups/permit_allocations_2026_20260510_160357/processed_data/hunt_master_enriched.csv,21320177,20.33
processed_data/backups/permit_allocations_2026_20260510_160357/processed_data/point_ladder_view.csv,33071892,31.54
processed_data/backups/permit_allocations_2026_20260523_082859/processed_data/draw_reality_engine.csv,17700713,16.88
processed_data/backups/permit_allocations_2026_20260523_082859/processed_data/hunt_master_enriched.csv,31887607,30.41
processed_data/backups/permit_allocations_2026_20260523_083028/processed_data/draw_reality_engine.csv,17727621,16.91
processed_data/backups/permit_allocations_2026_20260523_083028/processed_data/hunt_master_enriched.csv,32105793,30.62
processed_data/draw_reality_engine_v2.csv,44863034,42.78
processed_data/draw_reality_view.csv,14072342,13.42
processed_data/dwr_huntplanner_hanumber_2026.json,15409432,14.7
processed_data/dwr_huntplanner_hanumber_2026_raw_payloads.json,34755647,33.15
processed_data/hard_data_exports/source_pdfs/draw_odds/2025/2025-big-game-draw-results.pdf,12732089,12.14
processed_data/harvest_results_all_years_long.csv,30078733,28.69
processed_data/harvest_supplemental_metrics_2024_for_2025_long.csv,21382728,20.39
processed_data/hunt_decision_output.csv,11415874,10.89
processed_data/mixed_predictive_engine_2026_audit.csv,13370946,12.75
processed_data/ml_draw_predictions_v1.csv,48351537,46.11
processed_data/projected_bonus_draw_2026_simulated.csv,18106562,17.27
processed_data/public_contracts/hunt_odds_history.csv,30674064,29.25
processed_data/public_contracts/hunt_predictions.json,28443195,27.13
processed_data/truth_downloads_comprehensive.sqlite,10813440,10.31
