path,row_index,hunt_code,boundary_id,old_hunt_name,new_hunt_name
processed_data/hunt-master-canonical-2026-source-of-truth.json,0,BI1000,5000,Bison - Statewide Permit,Statewide
processed_data/hunt-master-canonical-2026-source-of-truth.json,13,BI6532,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)"
processed_data/hunt-master-canonical-2026-source-of-truth.json,14,BI6534,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)"
processed_data/hunt-master-canonical-2026-source-of-truth.json,15,BI6535,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)"
processed_data/hunt-master-canonical-2026-source-of-truth.json,16,BI6536,667,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek (pronghorn)"
processed_data/hunt-master-canonical-2026-source-of-truth.json,18,BI6538,615,"Nine Mile, Private Lands Only",Nine Mile
processed_data/hunt-master-canonical-2026-source-of-truth.json,20,BR1000,5001,Black Bear - Statewide Permit,Statewide
processed_data/hunt-master-canonical-2026-source-of-truth.json,21,BR1001,5002,Black Bear Harvest Objective Units,Harvest Objective Units
processed_data/hunt-master-canonical-2026-source-of-truth.json,22,BR1007,5003,Black Bear Pursuit - Resident,Pursuit
processed_data/hunt-master-canonical-2026-source-of-truth.json,32,BR1018,5013,Black Bear Pursuit - Nonresident,Pursuit
processed_data/hunt-master-canonical-2026-source-of-truth.json,34,BR7001,449,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South"
processed_data/hunt-master-canonical-2026-source-of-truth.json,35,BR7003,52,Manti North,"Manti, North"
processed_data/hunt-master-canonical-2026-source-of-truth.json,36,BR7004,744,Manti South/San Rafael North,"Manti South/San Rafael, North"
processed_data/hunt-master-canonical-2026-source-of-truth.json,38,BR7007,88,Fillmore Pahvant,"Fillmore, Pahvant"
processed_data/hunt-master-canonical-2026-source-of-truth.json,47,BR7016,845,Wasatch Mtns West-Central,"Wasatch Mtns, West-Central"
processed_data/hunt-master-canonical-2026-source-of-truth.json,49,BR7018,251,Kamas/North Slope Summit,"Kamas/North Slope, Summit"
processed_data/hunt-master-canonical-2026-source-of-truth.json,55,BR7101,449,Book Cliffs Bitter Creek/South,"Book Cliffs, Bitter Creek/South"
processed_data/hunt-master-canonical-2026-source-of-truth.json,56,BR7102,12,Book Cliffs Little Creek Roadless,"Book Cliffs, Little Creek Roadless"
processed_data/hunt-master-canonical-2026-source-of-truth.json,57,BR7104,52,Manti North,"Manti, North"
processed_data/hunt-master-canonical-2026-source-of-truth.json,58,BR7105,744,Manti South/San Rafael North,"Manti South/San Rafael, North"
processed_data/hunt-master-canonical-2026-source-of-truth.json,63,BR7111,289,North Slope Three Corners/West Daggett,"North Slope, Three Corners/West Daggett"
