path,row,hunt_code,boundary_id,old_hunt_name,database_hunt_name
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,185,DA1047,895,Vernal-ouray Valley,Vernal-Ouray Valley
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,186,DA1047,895,Vernal-ouray Valley,Vernal-Ouray Valley
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,187,DA1047,895,Vernal-ouray Valley,Vernal-Ouray Valley
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,188,DA1047,895,Vernal-ouray Valley,Vernal-Ouray Valley
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,189,DA1047,895,Vernal-ouray Valley,Vernal-Ouray Valley
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,190,DA1047,895,Vernal-ouray Valley,Vernal-Ouray Valley
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,191,DA1047,895,Vernal-ouray Valley,Vernal-Ouray Valley
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,192,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,193,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,194,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,195,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,196,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,197,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,198,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,199,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,200,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,201,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,202,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,203,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,204,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,205,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,206,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,207,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,208,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,209,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,210,DA1048,910,Fillmore City,"Fillmore, Fillmore City"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,230,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,231,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,232,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,233,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,234,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,235,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,236,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,237,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,238,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,239,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,240,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,241,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,242,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,243,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,244,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,245,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,246,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,247,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,248,DA1049,909,Ashley Valley,"Vernal, Ashley Valley"
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,249,DA1050,509,The Rose Of Snowville,The Rose of Snowville
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,250,DA1050,509,The Rose Of Snowville,The Rose of Snowville
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2024_for_2025_canonical_yearly_draw_results.csv,251,DA1050,509,The Rose Of Snowville,The Rose of Snowville
