row,hunt_code,database_hunt_name,canonical_hunt_name,source_file
5,DB1121,Antelope Island Management,Antelope Island,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
20,BR7102,Book Cliffs Little Creek Roadless,"Book Cliffs, Little Creek Roadless",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
21,BR7224,Book Cliffs Little Creek Roadless,"Book Cliffs, Little Creek Roadless",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
22,BR7225,Book Cliffs Little Creek Roadless,"Book Cliffs, Little Creek Roadless",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
23,BR7301,Book Cliffs Little Creek Roadless,"Book Cliffs, Little Creek Roadless",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
127,BR7003,Manti North,"Manti, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
128,BR7104,Manti North,"Manti, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
129,BR7203,Manti North,"Manti, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
130,BR7303,Manti North,"Manti, North",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
155,DB1012,"Fillmore, Oak Creek","Fillmore, Oak Creek LE",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
156,DB1019,"Fillmore, Oak Creek","Fillmore, Oak Creek LE",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
157,DB1029,"Fillmore, Oak Creek","Fillmore, Oak Creek LE",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
158,DB1045,"Fillmore, Oak Creek","Fillmore, Oak Creek LE",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
159,EA1209,"Fillmore, Oak Creek","Fillmore, Oak Creek LE",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
162,BR7007,Fillmore Pahvant,"Fillmore, Pahvant",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
163,BR7124,Fillmore Pahvant,"Fillmore, Pahvant",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
164,BR7207,Fillmore Pahvant,"Fillmore, Pahvant",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
197,DB1009,Henry Mtns Management,Henry Mtns,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
249,EA1058,"North Slope, Henrys Fork-Burnt Fork","North Slope, Henry's Fork-Burnt Fork",draw_results_2026_for_2027_canonical_yearly_draw_results.csv
285,DB1010,Paunsaugunt Management,Paunsaugunt,draw_results_2026_for_2027_canonical_yearly_draw_results.csv
