row,hunt_code,old_hunt_name,new_hunt_name
1356,BR1001,Black Bear Harvest Objective Units,Harvest Objective Units
1357,BR1007,Black Bear Pursuit - Resident,Pursuit
1358,BR1018,Black Bear Pursuit - Nonresident,Pursuit
1375,EB1001,Any Bull Elk Units,Any Bull Units
1376,EB1002,Any Bull Elk Units,Any Bull Units
1382,EB1010,Any Bull Elk Units,Any Bull Units
