row,hunt_code,boundary_id,hunt_name
1356,BR1001,5002,Black Bear Harvest Objective Units
1357,BR1007,5003,Black Bear Pursuit - Resident
1358,BR1018,5013,Black Bear Pursuit - Nonresident
1375,EB1001,5120,Any Bull Elk Units
1376,EB1002,5121,Any Bull Elk Units
1382,EB1010,5127,Any Bull Elk Units
