row,hunt_code,database_hunt_name
3,DB0009,Antelope Island - Conservation/Expo
6,RS1000,Antelope Island
15,DB1056,Book Cliffs (North & South)
16,DB1075,Book Cliffs (North & South)
17,DB1076,Book Cliffs (North & South)
29,EL3002,Book Cliffs Little Creek Roadless
30,EL3028,Book Cliffs Little Creek Roadless
31,EL3079,Book Cliffs Little Creek Roadless
32,EL3167,Book Cliffs Little Creek Roadless
36,RS1001,"Book Cliffs, South"
41,RS1003,"Box Elder, Newfoundland Mtn"
66,LO1502,Cache
67,LO1627,Cache
68,LO1628,Cache
78,EL3003,Cache Meadowville
79,EL3032,Cache Meadowville
80,EL3033,Cache Meadowville
81,EL3081,Cache Meadowville
82,EL3168,Cache Meadowville
83,EL3169,Cache Meadowville
86,EL3132,Cache North
87,EL3139,Cache North
103,EL3005,Cache South
104,EL3036,Cache South
105,EL3037,Cache South
106,EL3083,Cache South
107,EL3170,Cache South
108,EL3171,Cache South
121,EL3006,Manti
122,EL3038,Manti
123,EL3039,Manti
124,EL3084,Manti
125,EL3126,Manti
126,EL3172,Manti
141,LO1599,Chalk Creek
142,LO1600,Chalk Creek
143,LO1601,Chalk Creek
144,LO1602,Chalk Creek
149,LP5033,"Fillmore, Oak Creek South"
160,LD1019,"Fillmore, Oak Creek"
175,EL3008,Fillmore Pahvant
176,EL3042,Fillmore Pahvant
177,EL3043,Fillmore Pahvant
178,EL3086,Fillmore Pahvant
179,EL3180,Fillmore Pahvant
180,EL3181,Fillmore Pahvant
201,DS1002,"Kaiparowits, East"
203,DS1006,"Kaiparowits, West"
215,DB1118,Dolores Triangle
218,EL3044,La Sal Dolores Triangle
233,EL3208,Morgan-South Rich
234,LO1607,Morgan-South Rich
235,LO1608,Morgan-South Rich
236,LO1609,Morgan-South Rich
237,LO1610,Morgan-South Rich
262,EL3013,North Slope Three Corners
263,EL3053,North Slope Three Corners
264,EL3091,North Slope Three Corners
265,EL3210,North Slope Three Corners
291,LD1001,Paunsaugunt
292,LD1004,Paunsaugunt
293,LD1006,Paunsaugunt
302,EL3145,Boulder
303,EL3148,Boulder
304,EL3151,Boulder
305,EL3154,Boulder
306,EL3190,Boulder
307,EL3191,Boulder
320,EL3018,Fishlake/Thousand Lakes
321,EL3063,Fishlake/Thousand Lakes
322,EL3064,Fishlake/Thousand Lakes
323,EL3065,Fishlake/Thousand Lakes
324,EL3096,Fishlake/Thousand Lakes
325,EL3192,Fishlake/Thousand Lakes
333,EL3019,San Juan
334,EL3066,San Juan
335,EL3067,San Juan
336,EL3097,San Juan
337,EL3193,San Juan
338,EL3194,San Juan
346,DS1004,"San Rafael, Dirty Devil"
351,LP5046,"San Rafael, North"
355,DS1007,"San Rafael, South"
374,EL3020,Diamond Mtn
375,EL3068,Diamond Mtn
376,EL3069,Diamond Mtn
377,EL3098,Diamond Mtn
378,EL3195,Diamond Mtn
379,EL3196,Diamond Mtn
380,LD1023,Diamond Mtn
381,LO0008,Diamond Mtn Landowner Association
382,LO0009,Diamond Mtn Landowner Association
383,LO0010,Diamond Mtn Landowner Association
384,LO0011,Diamond Mtn Landowner Association
385,LO0012,Diamond Mtn Landowner Association
386,LO0013,Diamond Mtn Landowner Association
387,LO0014,Diamond Mtn Landowner Association
388,LO0015,Diamond Mtn Landowner Association
400,EL3022,Wasatch Mtns
401,EL3072,Wasatch Mtns
402,EL3073,Wasatch Mtns
403,EL3100,Wasatch Mtns
404,EL3127,Wasatch Mtns
405,EL3199,Wasatch Mtns
419,EL3137,West Desert Deep Creek
420,EL3144,West Desert Deep Creek
423,LP5051,"West Desert, Rush Valley"
443,EL3205,East Canyon
444,LO1603,East Canyon
445,LO1604,East Canyon
446,LO1605,East Canyon
447,LO1606,East Canyon
462,DS6605,"Pine Valley, Beaver Dam"
490,TK1000,Statewide
500,LO1518,Boulder/Kaiparowits
501,LO1629,Boulder/Kaiparowits
502,LO1630,Boulder/Kaiparowits
741,LO1501,Box Elder
742,LO1531,Box Elder
743,LO1561,Box Elder
744,LO1631,Box Elder
753,LO1514,Ogden
754,LO1544,Ogden
755,LO1574,Ogden
757,BR7324,Chalk Creek/East Canyon/Morgan-South Rich
768,LO1508,Kamas
769,LO1538,Kamas
770,LO1568,Kamas
771,LO1592,Kamas
779,LO1513,North Slope
780,LO1543,North Slope
781,LO1573,North Slope
782,LO1598,North Slope
795,LO1523,Yellowstone
796,LO1553,Yellowstone
797,LO1583,Yellowstone
807,LO1522,Vernal/Bonanza
808,LO1552,Vernal/Bonanza
809,LO1582,Vernal/Bonanza
810,BI6527,Nine Mile
811,BI6538,Nine Mile
821,LO1512,Nine Mile
822,LO1542,Nine Mile
823,LO1572,Nine Mile
824,LO1593,Nine Mile
839,LO1504,Nebo
840,LO1534,Nebo
841,LO1564,Nebo
862,EL3009,La Sal La Sal Mtns
863,EL3045,La Sal La Sal Mtns
864,EL3046,La Sal La Sal Mtns
865,EL3087,La Sal La Sal Mtns
866,EL3182,La Sal La Sal Mtns
867,EL3183,La Sal La Sal Mtns
869,LO1509,"La Sal, La Sal Mtns"
870,LO1539,"La Sal, La Sal Mtns"
871,LO1569,"La Sal, La Sal Mtns"
877,LO1521,"San Juan, Abajo Mtns"
878,LO1551,"San Juan, Abajo Mtns"
879,LO1581,"San Juan, Abajo Mtns"
885,LO1503,Manti/San Rafael
886,LO1533,Manti/San Rafael
887,LO1563,Manti/San Rafael
894,LO1526,"Wasatch Mtns, West"
895,LO1556,"Wasatch Mtns, West"
896,LO1586,"Wasatch Mtns, West"
903,LO1525,"Wasatch Mtns, East"
904,LO1555,"Wasatch Mtns, East"
905,LO1585,"Wasatch Mtns, East"
912,LO1524,Southwest Desert
913,LO1554,Southwest Desert
914,LO1584,Southwest Desert
915,LP5049,Southwest Desert
926,LP5025,Beaver
945,EL3010,Monroe
946,EL3047,Monroe
947,EL3048,Monroe
948,EL3088,Monroe
949,EL3184,Monroe
950,EL3185,Monroe
951,LO1510,Monroe
952,LO1540,Monroe
953,LO1570,Monroe
971,EL3011,Mt Dutton
972,EL3049,Mt Dutton
973,EL3050,Mt Dutton
974,EL3089,Mt Dutton
975,EL3186,Mt Dutton
976,EL3187,Mt Dutton
978,LO1511,Mt Dutton
979,LO1541,Mt Dutton
980,LO1571,Mt Dutton
985,LD1108,Thousand Lakes
992,LO1519,Fishlake
993,LO1549,Fishlake
994,LO1579,Fishlake
995,LO1596,Fishlake
1014,EL3015,Panguitch Lake
1015,EL3056,Panguitch Lake
1016,EL3057,Panguitch Lake
1017,EL3093,Panguitch Lake
1018,EL3188,Panguitch Lake
1019,EL3189,Panguitch Lake
1020,LO1516,Panguitch Lake
1021,LO1546,Panguitch Lake
1022,LO1576,Panguitch Lake
1023,LO1594,Panguitch Lake
1033,LO1529,Zion
1034,LO1559,Zion
1035,LO1589,Zion
1036,LO1597,Zion
1044,LO1517,Pine Valley
1045,LO1547,Pine Valley
1046,LO1577,Pine Valley
1047,LO1595,Pine Valley
1067,LO1614,"Beaver, West"
1068,LO1615,"Beaver, West"
1069,LO1616,"Beaver, West"
1074,EL3031,Box Elder Pilot Mtn
