merge_key,hunt_code,residency,points,record_kind,different_columns,live_eligible_applicants,pdf_eligible_applicants,live_total_drawn,pdf_total_drawn,live_total_permits,pdf_total_permits,live_success_ratio,pdf_success_ratio
TKY|Resident|standard|Bonus|16|POINT_PURCHASE_REFERENCE,TKY,Resident,16,POINT_PURCHASE_REFERENCE,p_draw_percent,3,3,0,0,0,0,,0
TKY|Resident|standard|Bonus|15|POINT_PURCHASE_REFERENCE,TKY,Resident,15,POINT_PURCHASE_REFERENCE,p_draw_percent,3,3,0,0,0,0,,0
TKY|Resident|standard|Bonus|14|POINT_PURCHASE_REFERENCE,TKY,Resident,14,POINT_PURCHASE_REFERENCE,p_draw_percent,3,3,0,0,0,0,,0
TKY|Resident|standard|Bonus|13|POINT_PURCHASE_REFERENCE,TKY,Resident,13,POINT_PURCHASE_REFERENCE,p_draw_percent,3,3,0,0,0,0,,0
TKY|Resident|standard|Bonus|12|POINT_PURCHASE_REFERENCE,TKY,Resident,12,POINT_PURCHASE_REFERENCE,p_draw_percent,1,1,0,0,0,0,,0
TKY|Resident|standard|Bonus|11|POINT_PURCHASE_REFERENCE,TKY,Resident,11,POINT_PURCHASE_REFERENCE,p_draw_percent,7,7,0,0,0,0,,0
TKY|Resident|standard|Bonus|10|POINT_PURCHASE_REFERENCE,TKY,Resident,10,POINT_PURCHASE_REFERENCE,p_draw_percent,6,6,0,0,0,0,,0
TKY|Resident|standard|Bonus|9|POINT_PURCHASE_REFERENCE,TKY,Resident,9,POINT_PURCHASE_REFERENCE,p_draw_percent,11,11,0,0,0,0,,0
TKY|Resident|standard|Bonus|8|POINT_PURCHASE_REFERENCE,TKY,Resident,8,POINT_PURCHASE_REFERENCE,p_draw_percent,19,19,0,0,0,0,,0
TKY|Resident|standard|Bonus|7|POINT_PURCHASE_REFERENCE,TKY,Resident,7,POINT_PURCHASE_REFERENCE,p_draw_percent,35,35,0,0,0,0,,0
TKY|Resident|standard|Bonus|6|POINT_PURCHASE_REFERENCE,TKY,Resident,6,POINT_PURCHASE_REFERENCE,p_draw_percent,47,47,0,0,0,0,,0
TKY|Resident|standard|Bonus|5|POINT_PURCHASE_REFERENCE,TKY,Resident,5,POINT_PURCHASE_REFERENCE,p_draw_percent,81,81,0,0,0,0,,0
TKY|Resident|standard|Bonus|4|POINT_PURCHASE_REFERENCE,TKY,Resident,4,POINT_PURCHASE_REFERENCE,p_draw_percent,142,142,0,0,0,0,,0
TKY|Resident|standard|Bonus|3|POINT_PURCHASE_REFERENCE,TKY,Resident,3,POINT_PURCHASE_REFERENCE,p_draw_percent,195,195,0,0,0,0,,0
TKY|Resident|standard|Bonus|2|POINT_PURCHASE_REFERENCE,TKY,Resident,2,POINT_PURCHASE_REFERENCE,p_draw_percent,206,206,0,0,0,0,,0
TKY|Resident|standard|Bonus|1|POINT_PURCHASE_REFERENCE,TKY,Resident,1,POINT_PURCHASE_REFERENCE,p_draw_percent,228,228,0,0,0,0,,0
TKY|Resident|standard|Bonus|0|POINT_PURCHASE_REFERENCE,TKY,Resident,0,POINT_PURCHASE_REFERENCE,p_draw_percent,268,268,0,0,0,0,,0
