hunt_code,candidate_extra_rows,hunt_names,species,residency_counts,points,source_files
BI1000,1,Sportsman Bison,Bison,Resident:1,0,UtahDraws live DrawOddsData: Sportsman:Sportsman
BI6500,1,Antelope Island,Bison,Resident:1,15,UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6503,2,Henry Mtns,Bison,Nonresident:1; Resident:1,"13, 26",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6504,3,Henry Mtns,Bison,Nonresident:1; Resident:2,"3, 5, 26",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6505,4,Henry Mtns,Bison,Nonresident:1; Resident:3,"6, 7, 8, 13",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6506,4,Henry Mtns,Bison,Resident:4,"0, 2, 4, 10",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6509,2,Henry Mtns,Bison,Resident:2,"4, 6",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6516,4,Henry Mtns,Bison,Resident:4,"3, 12, 14, 27",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6528,1,"Book Cliffs, Little Creek/South",Bison,Resident:1,18,UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6529,3,"Book Cliffs, Little Creek/South",Bison,Resident:3,"4, 9, 13",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6531,3,"Book Cliffs, Little Creek/South",Bison,Resident:3,"3, 17, 26",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6532,3,"Book Cliffs, Bitter Creek",Bison,Resident:3,"5, 7, 22",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6534,3,"Book Cliffs, Bitter Creek",Bison,Resident:3,"0, 8, 21",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6535,5,"Book Cliffs, Bitter Creek",Bison,Resident:5,"3, 11, 12, 16, 26",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6536,3,"Book Cliffs, Bitter Creek",Bison,Resident:3,"5, 7, 10",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6537,4,"Book Cliffs, Little Creek/South",Bison,Nonresident:1; Resident:3,"5, 9, 10, 11",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BI6539,3,Henry Mtns,Bison,Resident:3,"4, 5, 13",UtahDraws live DrawOddsData: Big Game:Once-in-a-lifetime
BR1008,1,Book Cliffs,Bear Restricted Pursuit,Resident:1,1,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR1009,3,La Sal,Bear Restricted Pursuit,Resident:3,"0, 1, 3",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR1010,4,San Juan,Bear Restricted Pursuit,Resident:4,"0, 1, 3, 4",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR1011,1,Book Cliffs,Bear Restricted Pursuit,Resident:1,0,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR1012,1,La Sal,Bear Restricted Pursuit,Resident:1,4,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR1013,2,San Juan,Bear Restricted Pursuit,Resident:2,"0, 1",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7000,3,Beaver,Bear Spring,Nonresident:1; Resident:2,"0, 1, 5",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7001,8,"Book Cliffs, Bitter Creek/South",Bear Spring,Nonresident:3; Resident:5,"0, 1, 2, 3, 4, 6, 7, 8",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7003,3,"Manti, North",Bear Spring,Resident:3,"2, 3, 6",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7004,5,"Manti, South/San Rafael, North",Bear Spring,Resident:5,"1, 2, 3, 6, 8",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7005,2,Nebo,Bear Spring,Resident:2,"1, 4",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7009,1,Mt Dutton,Bear Spring,Resident:1,1,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7010,2,Panguitch Lake/Zion,Bear Spring,Resident:2,"1, 5",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7012,2,Boulder/Kaiparowits,Bear Spring,Resident:2,"2, 3",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7013,1,Fishlake/Thousand Lakes,Bear Spring,Resident:1,1,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7014,8,San Juan,Bear Spring,Resident:8,"0, 1, 3, 5, 6, 7, 8, 10",UtahDraws live DrawOddsData: Black Bear:Limited-Entry
BR7015,1,Diamond Mtn/Vernal/Bonanza,Bear Spring,Resident:1,1,UtahDraws live DrawOddsData: Black Bear:Limited-Entry
