slug,draw_name,master_hunt_type_id,hunt_id,hunt_code,hunt_name,hunt_category_name,species_subtype_name,quota_quantity,resident_quota_quantity,nonresident_quota_quantity,point,preference_point,participant_count,successful_count,successful_by_regular_round_count,successful_by_max_point_round_count,residency_type_id,is_youth,is_historical_data
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,4.0,4.0,1487,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,10.0,10.0,110,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,11.0,11.0,66,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,1.0,1.0,4590,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,6.0,6.0,584,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,14.0,14.0,290,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,24.0,24.0,1,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,8.0,8.0,258,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,25.0,25.0,11,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,19.0,19.0,35,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,19.0,19.0,7,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,3.0,3.0,1771,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,21.0,21.0,2,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,21.0,21.0,31,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,23.0,23.0,1,0,0,0,1,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,26.0,26.0,2,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,22.0,22.0,19,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,2.0,2.0,1829,0,0,0,2,False,False
2026_big_game_05_general_season_buck_deer,Big Game,5,1948,GDR,General Deer Preference Point,Preference Point,Buck Deer,0,0,0,20.0,20.0,1,0,0,0,1,False,False
