year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,applicants_total,bonus_permits,regular_permits,permits_total,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page
2021,2022,DB1007,Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon,DEER,L.E.,BONUS_POINT,Nonresident,0,0,0,0,N/A,,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,10
2021,2022,DB1008,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon,DEER,L.E.,BONUS_POINT,Resident,557,2,2,4,1 in 139.3,0.71787509,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,11
2021,2022,DB1008,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon,DEER,L.E.,BONUS_POINT,Nonresident,0,0,0,0,N/A,,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,11
2021,2022,DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,DEER,L.E.,BONUS_POINT,Resident,661,2,1,3,1 in 220.3,0.45392646,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,12
2021,2022,DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,DEER,L.E.,BONUS_POINT,Nonresident,183,0,1,1,1 in 183.0,0.54644809,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,12
2021,2022,DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery,DEER,L.E.,BONUS_POINT,Resident,958,23,22,45,1 in 21.3,4.69483568,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,13
2021,2022,DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery,DEER,L.E.,BONUS_POINT,Nonresident,396,2,2,4,1 in 99.0,1.01010101,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,13
2021,2022,DB1012,"Limited-entry Archery Buck Deer - Fillmore, Oak Creek Le - Archery",DEER,L.E.,BONUS_POINT,Resident,306,3,3,6,1 in 51.0,1.96078431,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,14
2021,2022,DB1012,"Limited-entry Archery Buck Deer - Fillmore, Oak Creek Le - Archery",DEER,L.E.,BONUS_POINT,Nonresident,233,0,1,1,1 in 233.0,0.42918455,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,14
2021,2022,DB1013,"Limited-entry Archery Buck Deer - La Sal, Dolores Triangle - Archery",DEER,L.E.,BONUS_POINT,Resident,66,2,2,4,1 in 16.5,6.06060606,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,15
2021,2022,DB1013,"Limited-entry Archery Buck Deer - La Sal, Dolores Triangle - Archery",DEER,L.E.,BONUS_POINT,Nonresident,0,0,0,0,N/A,,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,15
2021,2022,DB1014,"Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery",ELK,L.E.,BONUS_POINT,Resident,374,6,5,11,1 in 34.0,2.94117647,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,16
