year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,point_level,applicants,bonus_permits,regular_permits,permits,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page,point_label
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,23,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,23,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,22,0,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,22,2,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,21,3,3,0,3,1 in 1.0,100,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,21,5,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,20,5,2,0,2,1 in 2.5,40,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,20,8,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,19,11,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,19,4,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,18,8,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,18,3,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,17,10,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Nonresident,17,3,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
2021,2022,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DEER,L.E.,BONUS_POINT,Resident,16,12,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,3,Bonus Points
