"source","year","title","status","bytes","file","url","error"
"utah_wildlife_biggame_odds_archive","2024","General-season buck deer draw results","ok","459740","older_years_biggame_odds/2024/24_deer_odds.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_deer_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Lifetime general-season deer draw results","ok","437601","older_years_biggame_odds/2024/24_lifetime_deer.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_lifetime_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Youth general-season deer draw results","ok","442269","older_years_biggame_odds/2024/24_youth_deer.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_youth_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Youth draw-only elk bonus point draw results","ok","76091","older_years_biggame_odds/2024/24_youth_elk.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_youth_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Big game limited-entry & once-in-a-lifetime draw results","ok","3110486","older_years_biggame_odds/2024/24_bg-odds.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_bg-odds.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Antlerless big game draw results","ok","774859","older_years_biggame_odds/2024/24_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Youth antlerless big game draw results","ok","693897","older_years_biggame_odds/2024/24_youth_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_youth_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Big game and antlerless bonus and preference point purchase results","ok","92976","older_years_biggame_odds/2024/24_point-only_purchases_for_big_game_and_antlerless.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_point-only_purchases_for_big_game_and_antlerless.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Youth draw-only elk bonus point draw results","ok","76091","older_years_biggame_odds/2024/24_youth_elk__dup2.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_youth_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2024","Dedicated Hunter deer draw results","ok","201098","older_years_biggame_odds/2024/24_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2024/24_dh_odds.pdf",""
