"source","species","gender","status","bytes","file","url","error"
"dwr_huntboundary_matrix","Bison","Cow Only","ok","1557","dwr_huntboundary_bison_cow_only.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Cow%20Only",""
"dwr_huntboundary_matrix","Bison","Hunters Choice","ok","4550","dwr_huntboundary_bison_hunters_choice.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters%20Choice",""
"dwr_huntboundary_matrix","Black Bear","Either Sex","ok","29700","dwr_huntboundary_black_bear_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black%20Bear&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Cougar","Either Sex","ok","212","dwr_huntboundary_cougar_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Cougar&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Coyote","Either Sex","ok","607","dwr_huntboundary_coyote_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Coyote&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Deer","Antlerless","ok","5137","dwr_huntboundary_deer_antlerless.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless",""
"dwr_huntboundary_matrix","Deer","Buck","ok","122185","dwr_huntboundary_deer_buck.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck",""
"dwr_huntboundary_matrix","Deer","Hunters Choice","ok","299","dwr_huntboundary_deer_hunters_choice.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Hunters%20Choice",""
"dwr_huntboundary_matrix","Desert Bighorn Sheep","Male Only","ok","6767","dwr_huntboundary_desert_bighorn_sheep_male_only.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Desert%20Bighorn%20Sheep&gender=Male%20Only",""
"dwr_huntboundary_matrix","Elk","Antlerless","ok","53934","dwr_huntboundary_elk_antlerless.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless",""
"dwr_huntboundary_matrix","Elk","Bull","ok","98355","dwr_huntboundary_elk_bull.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Bull",""
"dwr_huntboundary_matrix","Elk","Hunters Choice","ok","275","dwr_huntboundary_elk_hunters_choice.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Hunters%20Choice",""
"dwr_huntboundary_matrix","Goose, Dark","Either Sex","ok","1090","dwr_huntboundary_goose_dark_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Goose%2C%20Dark&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Goose, Light","Either Sex","ok","659","dwr_huntboundary_goose_light_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Goose%2C%20Light&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Goose, White-fronted","Either Sex","ok","1163","dwr_huntboundary_goose_white_fronted_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Goose%2C%20White-fronted&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Greater Sage-Grouse","Either Sex","ok","886","dwr_huntboundary_greater_sage_grouse_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Greater%20Sage-Grouse&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Moose","Antlerless","ok","1200","dwr_huntboundary_moose_antlerless.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Moose&gender=Antlerless",""
"dwr_huntboundary_matrix","Moose","Bull","ok","6394","dwr_huntboundary_moose_bull.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Moose&gender=Bull",""
"dwr_huntboundary_matrix","Mountain Goat","Hunters Choice","ok","4530","dwr_huntboundary_mountain_goat_hunters_choice.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Mountain%20Goat&gender=Hunters%20Choice",""
"dwr_huntboundary_matrix","Pronghorn","Buck","ok","23030","dwr_huntboundary_pronghorn_buck.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Buck",""
"dwr_huntboundary_matrix","Pronghorn","Doe","ok","5960","dwr_huntboundary_pronghorn_doe.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Pronghorn&gender=Doe",""
"dwr_huntboundary_matrix","Rocky Mountain Bighorn Sheep","Ewe","ok","268","dwr_huntboundary_rocky_mountain_bighorn_sheep_ewe.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky%20Mountain%20Bighorn%20Sheep&gender=Ewe",""
"dwr_huntboundary_matrix","Rocky Mountain Bighorn Sheep","Male Only","ok","6772","dwr_huntboundary_rocky_mountain_bighorn_sheep_male_only.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky%20Mountain%20Bighorn%20Sheep&gender=Male%20Only",""
"dwr_huntboundary_matrix","Sandhill Crane","Either Sex","ok","1463","dwr_huntboundary_sandhill_crane_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Sandhill%20Crane&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Sharp-tailed Grouse","Either Sex","ok","446","dwr_huntboundary_sharp_tailed_grouse_either_sex.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Sharp-tailed%20Grouse&gender=Either%20Sex",""
"dwr_huntboundary_matrix","Tribal","NA","ok","239","dwr_huntboundary_tribal_na.json","https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Tribal&gender=NA",""
