source_row,raw_title,family,hunt_type_raw,weapon_or_condition_raw,hunt_name_raw,permits_total
1,"Buck Deer - Limited Entry - Any Legal Weapon - Book Cliffs, North",Buck Deer,Limited Entry,Any Legal Weapon,"Book Cliffs, North",4
2,"Buck Deer - Limited Entry - Any Legal Weapon - Book Cliffs, South",Buck Deer,Limited Entry,Any Legal Weapon,"Book Cliffs, South",3
3,Buck Deer - Limited Entry - Archery - Book Cliffs,Buck Deer,Limited Entry,Archery,Book Cliffs,2
4,Buck Deer - Limited Entry - Muzzleloader - Book Cliffs,Buck Deer,Limited Entry,Muzzleloader,Book Cliffs,3
5,"Buck Deer - Limited Entry - Muzzleloader - Cache, Crawford Mtn",Buck Deer,Limited Entry,Muzzleloader,"Cache, Crawford Mtn",1
6,Buck Deer - Limited Entry - Late-season Muzzleloader - Manti/San Rafael,Buck Deer,Limited Entry,Late-season Muzzleloader,Manti/San Rafael,1
7,"Buck Deer - Limited Entry - Any Legal Weapon - Fillmore, Oak Creek LE",Buck Deer,Limited Entry,Any Legal Weapon,"Fillmore, Oak Creek LE",2
8,Buck Deer - Premium Limited Entry - Premium Any Legal Weapon - Henry Mtns,Buck Deer,Premium Limited Entry,Premium Any Legal Weapon,Henry Mtns,1
9,Buck Deer - Premium Limited Entry - Premium Any Legal Weapon - Paunsaugunt,Buck Deer,Premium Limited Entry,Premium Any Legal Weapon,Paunsaugunt,3
10,Buck Deer - Premium Limited Entry - Premium Archery - Paunsaugunt,Buck Deer,Premium Limited Entry,Premium Archery,Paunsaugunt,1
11,Buck Deer - Premium Limited Entry - Premium Muzzleloader - Paunsaugunt,Buck Deer,Premium Limited Entry,Premium Muzzleloader,Paunsaugunt,1
12,"Buck Deer - Limited Entry - Management Buck, Any Legal Weapon - Paunsaugunt",Buck Deer,Limited Entry,"Management Buck, Any Legal Weapon",Paunsaugunt,1
13,Buck Deer - Limited Entry - Late-season Muzzleloader - Pine Valley,Buck Deer,Limited Entry,Late-season Muzzleloader,Pine Valley,1
14,"Buck Deer - Limited Entry - Any Legal Weapon - San Juan, Elk Ridge",Buck Deer,Limited Entry,Any Legal Weapon,"San Juan, Elk Ridge",2
15,Buck Deer - Limited Entry - Any Legal Weapon - Diamond Mtn,Buck Deer,Limited Entry,Any Legal Weapon,Diamond Mtn,3
16,Buck Deer - Limited Entry - Archery - Diamond Mtn,Buck Deer,Limited Entry,Archery,Diamond Mtn,1
17,Buck Deer - Limited Entry - Muzzleloader - Diamond Mtn,Buck Deer,Limited Entry,Muzzleloader,Diamond Mtn,1
18,"Buck Deer - Limited Entry - Late-season Muzzleloader - Wasatch Mtns, West",Buck Deer,Limited Entry,Late-season Muzzleloader,"Wasatch Mtns, West",1
19,"Buck Deer - Limited Entry - Late-season Muzzleloader - Wasatch Mtns, East",Buck Deer,Limited Entry,Late-season Muzzleloader,"Wasatch Mtns, East",1
20,"Buck Deer - Limited Entry - Any Legal Weapon - West Desert, Vernon",Buck Deer,Limited Entry,Any Legal Weapon,"West Desert, Vernon",4
21,"Buck Deer - Limited Entry - Archery - West Desert, Vernon",Buck Deer,Limited Entry,Archery,"West Desert, Vernon",3
22,"Buck Deer - Limited Entry - Muzzleloader - West Desert, Vernon",Buck Deer,Limited Entry,Muzzleloader,"West Desert, Vernon",2
23,Buck Deer - Limited Entry - Late-season Muzzleloader - Zion,Buck Deer,Limited Entry,Late-season Muzzleloader,Zion,1
24,"Bull Elk - Limited Entry - Any Legal Weapon (mid) - Beaver, East",Bull Elk,Limited Entry,Any Legal Weapon (mid),"Beaver, East",1
25,"Bull Elk - Limited Entry - Any Legal Weapon (late) - Beaver, East",Bull Elk,Limited Entry,Any Legal Weapon (late),"Beaver, East",1
26,"Bull Elk - Limited Entry - Archery - Beaver, East",Bull Elk,Limited Entry,Archery,"Beaver, East",1
27,"Bull Elk - Limited Entry - Archery (late) - Beaver, East",Bull Elk,Limited Entry,Archery (late),"Beaver, East",1
28,"Bull Elk - Limited Entry - Any Legal Weapon (mid) - Book Cliffs, Bitter Creek/East",Bull Elk,Limited Entry,Any Legal Weapon (mid),"Book Cliffs, Bitter Creek/East",1
29,"Bull Elk - Limited Entry - Any Legal Weapon (late) - Book Cliffs, Bitter Creek/East",Bull Elk,Limited Entry,Any Legal Weapon (late),"Book Cliffs, Bitter Creek/East",1
30,"Bull Elk - Limited Entry - Archery - Book Cliffs, Bitter Creek/East",Bull Elk,Limited Entry,Archery,"Book Cliffs, Bitter Creek/East",1
31,"Bull Elk - Limited Entry - Archery - Cache, Meadowville",Bull Elk,Limited Entry,Archery,"Cache, Meadowville",1
32,"Bull Elk - Limited Entry - Any Legal Weapon (early) - Cache, South",Bull Elk,Limited Entry,Any Legal Weapon (early),"Cache, South",1
