excel_row,workbook_hunt_code,workbook_boundary_id,workbook_species,workbook_hunt_name,workbook_sex_type,workbook_weapon,organization,exact_dwr_candidates,same_name_dwr_candidates,same_name_utahdraws_codes,exact_workbook_code_utahdraws,recommendation
230,PB5029,25,Pronghorn,"Box Elder, Puddle Valley",Buck,Muzzleloader,SFW,,PB5004|Archery|Aug 15 2026 - Sept 11 2026|quota=4 ; PB5029|Any Legal Weapon|Sept 12 2026 - Sept 20 2026|quota=16,PB5004|Limited-Entry|LE Buck Pronghorn ; PB5029|Limited-Entry|LE Buck Pronghorn,"PB5029|Box Elder, Puddle Valley|Limited-Entry|LE Buck Pronghorn",no_exact_dwr_weapon_match_review_weapon_or_code
279,PB5039,138,Pronghorn,"West Desert, Riverbed",Buck,Muzzleloader,NWTF,,PB5019|Archery|Aug 15 2026 - Sept 11 2026|quota=20 ; PB5050|Any Legal Weapon|Sept 12 2026 - Sept 20 2026|quota=81,PB5019|Limited-Entry|LE Buck Pronghorn ; PB5050|Limited-Entry|LE Buck Pronghorn,"PB5039|North Slope, Summit|Limited-Entry|LE Buck Pronghorn",no_exact_dwr_weapon_match_review_weapon_or_code
292,RS0001,5135,Rocky Mountain Sheep,"Box Elder, Newfoundland Mtns",Male Only,Any Legal Weapon,UWSF,"RS1003|Any Legal Weapon|Oct 25 - Dec 31, 2025|quota=0 ; RS6703|Any Legal Weapon|Oct 03 2026 - Oct 23 2026|quota=4 ; RS6704|Any Legal Weapon|Oct 24 2026 - Nov 13 2026|quota=4","RS1003|Any Legal Weapon|Oct 25 - Dec 31, 2025|quota=0 ; RS6703|Any Legal Weapon|Oct 03 2026 - Oct 23 2026|quota=4 ; RS6704|Any Legal Weapon|Oct 24 2026 - Nov 13 2026|quota=4 ; RS6722|Archery|Nov 14 2026 - Dec 06 2026|quota=2",RS6703|Once-in-a-lifetime|Rocky Mtn Bighorn Sheep ; RS6704|Once-in-a-lifetime|Rocky Mtn Bighorn Sheep ; RS6722|Once-in-a-lifetime|Rocky Mtn Bighorn Sheep,RS0001|Sportsman Rocky Mountain Bighorn Sheep|Sportsman|Rocky Mtn Bighorn Sheep,multiple_exact_dwr_matches_review_season_label
