page,hunt_code,raw_before_code,raw_after_code,raw_line
24,DA1051,Beaver City (new),Aug. 1–Sept. 4,Beaver City (new) DA1051 Aug. 1–Sept. 4
24,DA1048,Fillmore City,Aug. 1–Sept. 4,Fillmore City DA1048 Aug. 1–Sept. 4
24,DA1045,"Fillmore, Oak City",Aug. 1–Sept. 4,"Fillmore, Oak City DA1045 Aug. 1–Sept. 4"
24,DA1030,"Nine Mile, Price River Valley",Aug. 15–Sept. 11,"Nine Mile, Price River Valley DA1030 Aug. 15–Sept. 11"
24,DA1031,"Oquirrh-Stansbury, Settlement Cyn",Aug. 15–Sept. 11,"Oquirrh-Stansbury, Settlement Cyn DA1031 Aug. 15–Sept. 11"
24,DA1033,"San Juan, Monticello",Aug. 1–Sept. 14,"San Juan, Monticello DA1033 Aug. 1–Sept. 14"
24,DA1042,"San Juan, Monticello",Nov. 24–Dec. 31,"San Juan, Monticello DA1042 Nov. 24–Dec. 31"
24,DA1049,"Vernal, Ashley Valley",Aug. 15–Dec. 11,"Vernal, Ashley Valley DA1049 Aug. 15–Dec. 11"
24,DA1027,"East Canyon, Davis-North Salt Lake",Aug. 1–Sept. 15,"East Canyon, Davis-North Salt Lake DA1027 Aug. 1–Sept. 15"
24,DA1041,"Nine Mile, Green River Valley",Oct. 3–25,"Nine Mile, Green River Valley DA1041 Oct. 3–25"
24,DA1009,"Pine Valley, Enterprise",Aug. 1–12,"Pine Valley, Enterprise DA1009 Aug. 1–12"
24,DA1047,Vernal-Ouray Valley,Sept. 26–Dec. 11,Vernal-Ouray Valley DA1047 Sept. 26–Dec. 11
24,DA1001,"Box Elder, West Bear River",Aug. 18–30,"Box Elder, West Bear River DA1001 Aug. 18–30"
24,DA1002,"Box Elder, West Bear River",Nov. 24–Nov. 29,"Box Elder, West Bear River DA1002 Nov. 24–Nov. 29"
24,DA1003,"Monroe/Plateau, Sevier Valley",Sept. 1–30,"Monroe/Plateau, Sevier Valley DA1003 Sept. 1–30"
24,DA1046,"Nine Mile, Price River Valley",Sept. 12–Oct. 9,"Nine Mile, Price River Valley DA1046 Sept. 12–Oct. 9"
24,DA1018,"Pine Valley, New Harmony",Aug. 1–12,"Pine Valley, New Harmony DA1018 Aug. 1–12"
25,EA2033,Kamas,Aug. 15–Sept. 16,Kamas EA2033 Aug. 15–Sept. 16
25,EA2034,"Nine Mile, Anthro",Aug. 15–Sept. 16,"Nine Mile, Anthro EA2034 Aug. 15–Sept. 16"
25,EA1268,"North Slope, Summit",Aug. 15–Sept. 16,"North Slope, Summit EA1268 Aug. 15–Sept. 16"
25,EA1274,"North Slope, Three Corners",Aug. 15–Sept. 4,"North Slope, Three Corners EA1274 Aug. 15–Sept. 4"
25,EA1283,Panguitch Lake,Aug. 15–Aug. 30,Panguitch Lake EA1283 Aug. 15–Aug. 30
25,EA1085,Vernal/Bonanza,Aug. 15–Sept. 16,Vernal/Bonanza EA1085 Aug. 15–Sept. 16
25,EA2038,Wasatch Mtns,Aug. 15–Sept. 4,Wasatch Mtns EA2038 Aug. 15–Sept. 4
25,EA2037,Yellowstone,Aug. 15–Sept. 16,Yellowstone EA2037 Aug. 15–Sept. 16
25,EA1222,"Beaver, East",Nov. 21–Dec. 11,"Beaver, East EA1222 Nov. 21–Dec. 11"
25,EA1223,"Beaver, East",Dec. 12–26,"Beaver, East EA1223 Dec. 12–26"
25,EA1224,"Book Cliffs, Bitter Creek/South",Oct. 3–15,"Book Cliffs, Bitter Creek/South EA1224 Oct. 3–15"
25,EA1225,"Book Cliffs, Bitter Creek/South",Nov. 16–Dec. 13,"Book Cliffs, Bitter Creek/South EA1225 Nov. 16–Dec. 13"
25,EA1075,Boulder East,Nov. 21–Dec. 31,Boulder East EA1075 Nov. 21–Dec. 31
25,EA1076,Boulder West,Nov. 21–Dec. 31,Boulder West EA1076 Nov. 21–Dec. 31
25,EA1077,Boulder-Circle Cliffs,"Oct. 7, 2026–Jan. 10, 2027","Boulder-Circle Cliffs EA1077 Oct. 7, 2026–Jan. 10, 2027"
25,EA1007,"Box Elder, Grouse Creek (new)","Nov. 6, 2026–Jan. 31, 2027","Box Elder, Grouse Creek (new) EA1007 Nov. 6, 2026–Jan. 31, 2027"
