row_number,hunt_code,column,old_value,new_value,source_type,source_detail
29682,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29682,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29683,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29683,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29684,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29684,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29685,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29685,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29686,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29686,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29687,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29687,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29688,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29688,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29689,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29689,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29690,RS6714,sex,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
29690,RS6714,sex_type,,Ram,USER_APPROVED_OIL_ROCKY_MOUNTAIN_BIGHORN_SHEEP_RULE,2019 O.I.L. Rocky Mountain Bighorn Sheep rows approved as Ram where sex is blank
