group,path,resolved_path,consumer_module,required,production_blocker,status,blocker,exists,size_bytes,row_count,column_count,duplicate_key_count,missing_required_column_count,null_critical_count,null_lineage_count,invalid_probability_count,invalid_percent_count,invalid_nonnegative_integer_count,issues,notes
utah_rebuild_fixtures,data/utah/fixtures/applications_raw.csv,data/utah/fixtures/applications_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_rebuild_fixtures,data/utah/fixtures/applicants_raw.csv,data/utah/fixtures/applicants_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_rebuild_fixtures,data/utah/fixtures/groups_raw.csv,data/utah/fixtures/groups_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_rebuild_fixtures,data/utah/fixtures/points_raw.csv,data/utah/fixtures/points_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_rebuild_fixtures,data/utah/fixtures/quotas_raw.csv,data/utah/fixtures/quotas_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_rebuild_fixtures,data/utah/fixtures/draw_results_raw.csv,data/utah/fixtures/draw_results_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_rebuild_fixtures,data/utah/fixtures/hunt_metadata_raw.csv,data/utah/fixtures/hunt_metadata_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_rebuild_fixtures,data/utah/fixtures/harvest_quality_raw.csv,data/utah/fixtures/harvest_quality_raw.csv,engine.utah.rebuild,True,True,BLOCKER,True,False,0,,,0,0,0,0,0,0,0,missing_file,Synthetic fixture rebuild input; missing fixtures block fixture rebuild only.
utah_materialize_engine,processed_data/draw_reality_engine.csv,processed_data/draw_reality_engine.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,27627925,36892,68,0,0,0,0,0,0,0,invalid_numeric_values,
utah_materialize_engine,processed_data/draw_reality_view.csv,processed_data/draw_reality_view.csv,engine.utah.materialize_engine,True,True,BLOCKER,True,True,14072342,53176,27,0,2,0,0,0,0,0,missing_required_columns,
