hunt_code,hunt_name,column,old_value,new_value,reason,source_file,row_type,residency,points
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Resident,26
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Resident,26
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Resident,26
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,26
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,26
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,26
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Resident,25
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Resident,25
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Resident,25
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,25
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,25
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,25
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Resident,24
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Resident,24
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Resident,24
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,24
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,24
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,24
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Resident,23
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Resident,23
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Resident,23
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,23
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,23
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,23
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Resident,22
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Resident,22
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Resident,22
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,22
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,22
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,22
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Resident,21
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Resident,21
BI6500,Antelope Island,permits_year_nr,,0,arithmetic_total_minus_resident_equals_zero,19_bg-odds(1).pdf,point_level_draw_result,Resident,21
BI6500,Antelope Island,page_kind,,DRAW_RESULT_POINT_ROW,deterministic_from_row_type,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,21
BI6500,Antelope Island,parse_method,,canonical_yearly_from_draw_results_long,canonical_yearly_build_method,19_bg-odds(1).pdf,point_level_draw_result,Nonresident,21
