hunt_code,reason,parsed_unit,parsed_unit_norm,source_pdf,pdf_page,candidate_boundary_ids,candidate_boundary_names
BI6501,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Book Cliffs (hunter's Choice),book cliffs hunters choice,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,2,,
BI6508,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Book Cliffs (cow Only),book cliffs cow only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,8,,
BI6515,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Bison Archery - Henry Mtns (cow Only),bison archery henry mtns cow only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,10,,
BI6517,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Book Cliffs (hunter's Choice),book cliffs hunters choice,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,12,,
BI6518,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Book Cliffs (hunter's Choice),book cliffs hunters choice,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,13,,
BI6519,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Book Cliffs, Little Creek Roadless (hunter's Choice)",book cliffs little creek roadless hunters choice,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,14,,
BI6520,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,Book Cliffs (cow Only),book cliffs cow only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,15,,
BR7231,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Manti-north",central mtns manti north,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,73,,
BR7232,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Manti-south/san Rafael, North",central mtns manti south san rafael north,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,74,,
BR7233,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,75,,
BR7236,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Plateau, Boulder/kaiparowits",plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,78,,
CG1000,NO_HUNT_LINE_FOUND_IN_2019_RAW_PDFS,,,,,,
CG7500,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Southwest Manti",central mtns southwest manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,6,,
CG7507,NO_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Central Mtns, Northwest Manti",central mtns northwest manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,11,,
