hunt_code,reason,parsed_unit,parsed_unit_norm,source_pdf,pdf_page,candidate_boundary_ids,candidate_boundary_names,candidate_boundary_sources
BR7234,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,76,610|93,Chalk Creek/East Canyon/Morgan-South Rich|Chalk Creek/East Canyon/Morgan-South Rich,data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DA1017,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Pine Valley, Enterprise",pine valley enterprise,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,14,169|839,"Pine Valley, Enterprise|Pine Valley, Enterprise",data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DA1028,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,"East Canyon, Davis-north Salt Lake",east canyon davis north salt lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,25,77|859,"East Canyon, Davis-North Salt Lake|East Canyon, Davis-North Salt Lake",data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DB1027,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__L.E. DEER DRAW RESULTS.pdf,28,610|93,Chalk Creek/East Canyon/Morgan-South Rich|Chalk Creek/East Canyon/Morgan-South Rich,data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DB1505,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,6,610|93,Chalk Creek/East Canyon/Morgan-South Rich|Chalk Creek/East Canyon/Morgan-South Rich,data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DB1535,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,35,610|93,Chalk Creek/East Canyon/Morgan-South Rich|Chalk Creek/East Canyon/Morgan-South Rich,data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DB1565,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,64,610|93,Chalk Creek/East Canyon/Morgan-South Rich|Chalk Creek/East Canyon/Morgan-South Rich,data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DB1590,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,88,610|93,Chalk Creek/East Canyon/Morgan-South Rich|Chalk Creek/East Canyon/Morgan-South Rich,data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
DB1774,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,8,610|93,Chalk Creek/East Canyon/Morgan-South Rich|Chalk Creek/East Canyon/Morgan-South Rich,data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
EA1003,AMBIGUOUS_EXACT_NORMALIZED_UNIT_NAME_MATCH,"Book Cliffs, Bitter Creek East",book cliffs bitter creek east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,1,747|899,"Book Cliffs, Bitter Creek East|Book Cliffs, Bitter Creek/East",data\hunt-boundaries-lite.geojson|data\hunt-boundaries-lite.geojson
