row_number,hunt_code,column,old_value,new_value,source_type,source_detail
338,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
339,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
340,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
341,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
342,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
343,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
344,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
345,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
346,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
347,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
348,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
349,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
350,BI6507,boundary_id,,822,OFFICIAL_BOUNDARY_GEOJSON_EXACT_NAME_MATCH,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro | data\hunt-boundaries-lite.geojson | data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf page 7"
