boundary_id,boundary_name,boundary_name_norm,boundary_source
1,Antelope Island,antelope island,data\hunt_boundaries.geojson
8,"Book Cliffs, East",book cliffs east,data\hunt_boundaries.geojson
13,"Book Cliffs, Rattlesnake Canyon",book cliffs rattlesnake canyon,data\hunt_boundaries.geojson
15,"Book Cliffs, South",book cliffs south,data\hunt_boundaries.geojson
24,"Box Elder, Promontory",box elder promontory,data\hunt_boundaries.geojson
26,"Box Elder, Raft River",box elder raft river,data\hunt_boundaries.geojson
29,Cache,cache,data\hunt_boundaries.geojson
41,"Cache, South",cache south,data\hunt_boundaries.geojson
42,Central Mtns,central mtns,data\hunt_boundaries.geojson
56,Nebo (excludes West Face),nebo excludes west face,data\hunt_boundaries.geojson
57,Nebo-West Face,nebo west face,data\hunt_boundaries.geojson
59,"Manti, Northwest",manti northwest,data\hunt_boundaries.geojson
63,"Manti, Southeast",manti southeast,data\hunt_boundaries.geojson
71,Chalk Creek/Kamas,chalk creek kamas,data\hunt_boundaries.geojson
76,"East Canyon, Davis",east canyon davis,data\hunt_boundaries.geojson
79,"East Canyon, Morgan-Summit",east canyon morgan summit,data\hunt_boundaries.geojson
100,"Kaiparowits, West",kaiparowits west,data\hunt_boundaries.geojson
140,"North Slope, Three Corners",north slope three corners,data\hunt_boundaries.geojson
171,Plateau,plateau,data\hunt_boundaries.geojson
185,"San Juan, Elk Ridge",san juan elk ridge,data\hunt_boundaries.geojson
187,"San Juan, Lockhart",san juan lockhart,data\hunt_boundaries.geojson
191,San Rafael,san rafael,data\hunt_boundaries.geojson
193,"San Rafael, Dirty Devil",san rafael dirty devil,data\hunt_boundaries.geojson
195,"San Rafael, South",san rafael south,data\hunt_boundaries.geojson
226,"Wasatch Mtns, Cascade",wasatch mtns cascade,data\hunt_boundaries.geojson
227,"Wasatch Mtns, Currant Creek",wasatch mtns currant creek,data\hunt_boundaries.geojson
237,"Wasatch Mtns, Timpanogos A",wasatch mtns timpanogos a,data\hunt_boundaries.geojson
243,"West Desert, Mtn Ranges",west desert mtn ranges,data\hunt_boundaries.geojson
248,"West Desert, Vernon",west desert vernon,data\hunt_boundaries.geojson
444,Diamond Mtn/Vernal/Bonanza,diamond mtn vernal bonanza,data\hunt_boundaries.geojson
445,"Manti, Northeast",manti northeast,data\hunt_boundaries.geojson
446,"Manti, Southwest",manti southwest,data\hunt_boundaries.geojson
449,"Book Cliffs, Bitter Creek/South",book cliffs bitter creek south,data\hunt_boundaries.geojson
607,Box Elder,box elder,data\hunt_boundaries.geojson
610,Chalk Creek/East Canyon/Morgan-South Rich,chalk creek east canyon morgan south rich,data\hunt_boundaries.geojson
612,North Slope,north slope,data\hunt_boundaries.geojson
615,Nine Mile,nine mile,data\hunt_boundaries.geojson
616,Nebo,nebo,data\hunt_boundaries.geojson
618,"San Juan, Abajo Mtns",san juan abajo mtns,data\hunt_boundaries.geojson
620,"Wasatch Mtns, West",wasatch mtns west,data\hunt_boundaries.geojson
621,"Wasatch Mtns, East",wasatch mtns east,data\hunt_boundaries.geojson
623,"West Desert, West",west desert west,data\hunt_boundaries.geojson
628,Beaver,beaver,data\hunt_boundaries.geojson
632,Thousand Lakes,thousand lakes,data\hunt_boundaries.geojson
633,Fishlake,fishlake,data\hunt_boundaries.geojson
638,"Book Cliffs, Wild Horse Bench",book cliffs wild horse bench,data\hunt_boundaries.geojson
668,"Fillmore, Oak Creek (cougar)",fillmore oak creek cougar,data\hunt_boundaries.geojson
684,La Sal,la sal,data\hunt_boundaries.geojson
688,"La Sal, Potash/South Cisco",la sal potash south cisco,data\hunt_boundaries.geojson
32767,Youth Multiseason Elk,youth multiseason elk,data\hunt_boundaries.geojson
