hunt_code,hunt_line,parsed_unit,parsed_unit_norm,source_pdf,pdf_page
DB1518,"Hunt: DB1518 Plateau, Boulder/kaiparowits - Archery Page 18","Plateau, Boulder/kaiparowits",plateau boulder kaiparowits,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,18
DB1519,"Hunt: DB1519 Plateau, Fishlake - Archery Page 19","Plateau, Fishlake",plateau fishlake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,19
DB1520,"Hunt: DB1520 Plateau, Thousand Lakes - Archery Page 20","Plateau, Thousand Lakes",plateau thousand lakes,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,20
DB1521,"Hunt: DB1521 San Juan, Abajo Mtns - Archery Page 21","San Juan, Abajo Mtns",san juan abajo mtns,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,21
DB1522,"Hunt: DB1522 South Slope, Bonanza/vernal - Archery Page 22","South Slope, Bonanza/vernal",south slope bonanza vernal,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,22
DB1523,"Hunt: DB1523 South Slope, Yellowstone - Archery Page 23","South Slope, Yellowstone",south slope yellowstone,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,23
DB1524,Hunt: DB1524 Southwest Desert - Archery Page 24,Southwest Desert,southwest desert,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,24
DB1525,"Hunt: DB1525 Wasatch Mtns, East - Archery Page 25","Wasatch Mtns, East",wasatch mtns east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,25
DB1526,"Hunt: DB1526 Wasatch Mtns, West - Archery Page 26","Wasatch Mtns, West",wasatch mtns west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,26
DB1527,"Hunt: DB1527 West Desert, Tintic - Archery Page 27","West Desert, Tintic",west desert tintic,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,27
DB1528,"Hunt: DB1528 West Desert, West - Archery Page 28","West Desert, West",west desert west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,28
DB1529,Hunt: DB1529 Zion - Archery Page 29,Zion,zion,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,29
DB1530,Hunt: DB1530 Beaver - Any Legal Weapon Page 30,Beaver,beaver,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,30
DB1531,Hunt: DB1531 Box Elder - Any Legal Weapon Page 31,Box Elder,box elder,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,31
DB1532,Hunt: DB1532 Cache - Any Legal Weapon Page 32,Cache,cache,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,32
DB1533,"Hunt: DB1533 Central Mtns, Manti/san Rafael - Any Legal Weapon Page 33","Central Mtns, Manti/san Rafael",central mtns manti san rafael,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,33
DB1534,"Hunt: DB1534 Central Mtns, Nebo - Any Legal Weapon Page 34","Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,34
DB1535,Hunt: DB1535 Chalk Creek/east Canyon/morgan-south Rich - Any Legal Weapon Page 35,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,35
DB1536,Hunt: DB1536 Fillmore - Any Legal Weapon Page 36,Fillmore,fillmore,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,36
DB1538,Hunt: DB1538 Kamas - Any Legal Weapon Page 37,Kamas,kamas,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,37
DB1539,"Hunt: DB1539 La Sal, La Sal Mtns - Any Legal Weapon Page 38","La Sal, La Sal Mtns",la sal la sal mtns,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,38
DB1540,Hunt: DB1540 Monroe - Any Legal Weapon Page 39,Monroe,monroe,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,39
DB1541,Hunt: DB1541 Mt Dutton - Any Legal Weapon Page 40,Mt Dutton,mt dutton,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,40
DB1542,Hunt: DB1542 Nine Mile - Any Legal Weapon Page 41,Nine Mile,nine mile,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,41
DB1543,Hunt: DB1543 North Slope - Any Legal Weapon Page 42,North Slope,north slope,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,42
DB1544,Hunt: DB1544 Ogden - Any Legal Weapon Page 43,Ogden,ogden,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,43
DB1545,Hunt: DB1545 Oquirrh-stansbury - Any Legal Weapon Page 44,Oquirrh-stansbury,oquirrh stansbury,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,44
DB1546,Hunt: DB1546 Panguitch Lake - Any Legal Weapon Page 45,Panguitch Lake,panguitch lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,45
