hunt_code,hunt_line,parsed_unit,parsed_unit_norm,source_pdf,pdf_page
GO6800,Hunt: GO6800 Mountain Goat - Beaver - Any Legal Weapon Page 386,Beaver,beaver,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,1
GO6801,Hunt: GO6801 Mountain Goat - Beaver - Any Legal Weapon Page 387,Beaver,beaver,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,2
GO6803,"Hunt: GO6803 Mountain Goat - Central Mtns, Nebo - Any Legal Weapon Page 388","Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,3
GO6804,"Hunt: GO6804 Mountain Goat - Chalk Creek/kamas, Uintas - Any Legal Weapon Page 389","Chalk Creek/kamas, Uintas",chalk creek kamas uintas,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,4
GO6805,"Hunt: GO6805 Mountain Goat - North Slope/south Slope, High Uintas Central - Any Legal Weapon Page 390","North Slope/south Slope, High Uintas Central",north slope south slope high uintas central,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,5
GO6806,"Hunt: GO6806 Mountain Goat - North Slope/south Slope, High Uintas East - Any Legal Weapon Page 391","North Slope/south Slope, High Uintas East",north slope south slope high uintas east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,6
GO6807,"Hunt: GO6807 Mountain Goat - North Slope/south Slope, High Uintas Leidy Peak - Any Legal Weapon Page 392","North Slope/south Slope, High Uintas Leidy Peak",north slope south slope high uintas leidy peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,7
GO6808,"Hunt: GO6808 Mountain Goat - North Slope/south Slope, High Uintas West - Any Legal Weapon Page 393","North Slope/south Slope, High Uintas West",north slope south slope high uintas west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,8
GO6809,"Hunt: GO6809 Mountain Goat - Ogden, Willard Peak - Any Legal Weapon Page 394","Ogden, Willard Peak",ogden willard peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,9
GO6810,"Hunt: GO6810 Mountain Goat - Ogden, Willard Peak - Any Legal Weapon Page 395","Ogden, Willard Peak",ogden willard peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,10
GO6811,"Hunt: GO6811 Mountain Goat - Ogden, Willard Peak (female Goat Only) - Any Legal Weapon Page 396","Ogden, Willard Peak (female Goat Only)",ogden willard peak female goat only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,11
GO6813,"Hunt: GO6813 Mountain Goat - Wasatch Mtns, Provo Peak - Any Legal Weapon Page 397","Wasatch Mtns, Provo Peak",wasatch mtns provo peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,12
GO6814,Hunt: GO6814 Mountain Goat - Mt Dutton - Any Legal Weapon Page 398,Mt Dutton,mt dutton,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,13
GO6815,"Hunt: GO6815 Mountain Goat Archery - North Slope/south Slope, High Uintas Central - Archery Page 399","Mountain Goat Archery - North Slope/south Slope, High Uintas Central",mountain goat archery north slope south slope high uintas central,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,14
GO6817,"Hunt: GO6817 Mountain Goat - La Sal, La Sal Mtns - Any Legal Weapon Page 400","La Sal, La Sal Mtns",la sal la sal mtns,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,15
GO6818,"Hunt: GO6818 Mountain Goat - Wasatch Mtns, Box Elder Peak - Any Legal Weapon Page 401","Wasatch Mtns, Box Elder Peak",wasatch mtns box elder peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,16
GO6819,"Hunt: GO6819 Mountain Goat - Wasatch Mtns, Lone Peak - Any Legal Weapon Page 402","Wasatch Mtns, Lone Peak",wasatch mtns lone peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,17
GO6820,"Hunt: GO6820 Mountain Goat - Wasatch Mtns, Timpanogos - Any Legal Weapon Page 403","Wasatch Mtns, Timpanogos",wasatch mtns timpanogos,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,18
GO6821,"Hunt: GO6821 Mountain Goat Archery - Central Mtns, Nebo - Archery Page 404","Mountain Goat Archery - Central Mtns, Nebo",mountain goat archery central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,19
DA1000,"Hunt: DA1000 Antlerless Deer - Beaver, Circleville North - Any Legal Weapon","Beaver, Circleville North",beaver circleville north,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,1
DA1001,"Hunt: DA1001 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgun Only","Box Elder, West Bear River - Archery, Mzldr, Shotgun Only",box elder west bear river archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,2
DA1002,"Hunt: DA1002 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgun Only","Box Elder, West Bear River - Archery, Mzldr, Shotgun Only",box elder west bear river archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,3
DA1003,"Hunt: DA1003 Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgun Only","Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgun Only",monroe plateau sevier valley archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,4
DA1004,"Hunt: DA1004 Antlerless Deer - Mt Dutton, Circleville South - Any Legal Weapon","Mt Dutton, Circleville South",mt dutton circleville south,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,5
DA1005,"Hunt: DA1005 Antlerless Deer - North Slope, Manila-phil Pico - Archery, Mzldr, Shotgun Only","North Slope, Manila-phil Pico - Archery, Mzldr, Shotgun Only",north slope manila phil pico archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,6
DA1007,"Hunt: DA1007 Antlerless Deer - Panguitch Lake, Panguitch Valley - Any Legal Weapon","Panguitch Lake, Panguitch Valley",panguitch lake panguitch valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,7
DA1009,"Hunt: DA1009 Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon","Pine Valley, Enterprise",pine valley enterprise,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,8
DA1010,"Hunt: DA1010 Antlerless Deer - Zion, Northwest Zion - Any Legal Weapon","Zion, Northwest Zion",zion northwest zion,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,9
DA1011,Hunt: DA1011 Cwmu Antlerless Deer - George Creek - Any Legal Weapon,Cwmu Antlerless Deer - George Creek,cwmu antlerless deer george creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,10
DA1012,Hunt: DA1012 Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,Cwmu Two Doe Antlerless Deer - Junction Valley,cwmu two doe antlerless deer junction valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,11
DA1013,Hunt: DA1013 Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,Cwmu Antlerless Deer - Mt Carmel,cwmu antlerless deer mt carmel,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,12
DA1016,"Hunt: DA1016 Antlerless Deer - Plateau, East Angle - Any Legal Weapon","Plateau, East Angle",plateau east angle,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,13
DA1017,"Hunt: DA1017 Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon","Pine Valley, Enterprise",pine valley enterprise,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,14
DA1018,"Hunt: DA1018 Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgun Only","Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgun Only",two doe antlerless deer pine valley new harmony archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,15
DA1019,"Hunt: DA1019 Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgun Only","Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgun Only",two doe antlerless deer pine valley new harmony archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,16
DA1020,"Hunt: DA1020 Antlerless Deer - Pine Valley, Quichapa - Any Legal Weapon","Pine Valley, Quichapa",pine valley quichapa,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,17
DA1021,"Hunt: DA1021 Antlerless Deer - Pine Valley, Quichapa - Any Legal Weapon","Pine Valley, Quichapa",pine valley quichapa,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,18
DA1022,"Hunt: DA1022 Antlerless Deer - Plateau, Antimony - Any Legal Weapon","Plateau, Antimony",plateau antimony,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,19
DA1023,"Hunt: DA1023 Antlerless Deer - Plateau, Antimony - Any Legal Weapon","Plateau, Antimony",plateau antimony,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,20
DA1024,"Hunt: DA1024 Antlerless Deer - Plateau, Fremont River Valley - Archery, Mzldr, Shotgun Only","Plateau, Fremont River Valley - Archery, Mzldr, Shotgun Only",plateau fremont river valley archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,21
DA1025,"Hunt: DA1025 Antlerless Deer - Zion, Northwest Zion - Any Legal Weapon","Zion, Northwest Zion",zion northwest zion,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,22
DA1026,Hunt: DA1026 Antlerless Deer - Chalk Creek - Any Legal Weapon,Chalk Creek,chalk creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,23
DA1027,"Hunt: DA1027 Antlerless Deer - East Canyon, Davis-north Salt Lake - Archery","East Canyon, Davis-north Salt Lake",east canyon davis north salt lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,24
DA1028,"Hunt: DA1028 Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon","East Canyon, Davis-north Salt Lake",east canyon davis north salt lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,25
DA1029,"Hunt: DA1029 Antlerless Deer - Nine Mile, Green River Valley - Archery","Nine Mile, Green River Valley",nine mile green river valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,26
DA1030,"Hunt: DA1030 Antlerless Deer - Nine Mile, Price River Valley - Archery","Nine Mile, Price River Valley",nine mile price river valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,27
DA1031,"Hunt: DA1031 Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery","Oquirrh-stansbury, Settlement Cyn",oquirrh stansbury settlement cyn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,28
DA1032,"Hunt: DA1032 Antlerless Deer - Panguitch Lake, Parowan Front - Any Legal Weapon","Panguitch Lake, Parowan Front",panguitch lake parowan front,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,29
DA1033,"Hunt: DA1033 Antlerless Deer - San Juan, Monticello - Archery","San Juan, Monticello",san juan monticello,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,30
DA1035,"Hunt: DA1035 Two Doe Antlerless Deer - Southwest Desert, Garrison - Any Legal Weapon","Two Doe Antlerless Deer - Southwest Desert, Garrison",two doe antlerless deer southwest desert garrison,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,31
DA1036,"Hunt: DA1036 Antlerless Deer - Wasatch Mtns, West-sheep Creek - Any Legal Weapon","Wasatch Mtns, West-sheep Creek",wasatch mtns west sheep creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,32
DA1039,Hunt: DA1039 Antlerless Deer - East Canyon - Any Legal Weapon,East Canyon,east canyon,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,33
DA1040,Hunt: DA1040 Antlerless Deer - East Canyon - Archery,East Canyon,east canyon,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,34
DA1041,"Hunt: DA1041 Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon","Nine Mile, Green River Valley",nine mile green river valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,35
DA1042,"Hunt: DA1042 Antlerless Deer - San Juan, Monticello - Archery","San Juan, Monticello",san juan monticello,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,36
DA1043,"Hunt: DA1043 Antlerless Deer - Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only","Southwest Desert, Cedar Valley - Archery, Mzldr, Shotgun Only",southwest desert cedar valley archery mzldr shotgun only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,37
EA1003,"Hunt: EA1003 Antlerless Elk - Book Cliffs, Bitter Creek East - Any Legal Weapon","Book Cliffs, Bitter Creek East",book cliffs bitter creek east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,1
EA1004,"Hunt: EA1004 Antlerless Elk - Book Cliffs, Little Creek Roadless - Any Legal Weapon","Book Cliffs, Little Creek Roadless",book cliffs little creek roadless,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,2
EA1007,"Hunt: EA1007 Antlerless Elk - Box Elder, Grouse Creek - Any Legal Weapon","Box Elder, Grouse Creek",box elder grouse creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,3
EA1008,"Hunt: EA1008 Antlerless Elk - Box Elder, Grouse Creek - Any Legal Weapon","Box Elder, Grouse Creek",box elder grouse creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,4
EA1009,"Hunt: EA1009 Antlerless Elk - Cache, East - Any Legal Weapon","Cache, East",cache east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,5
EA1010,"Hunt: EA1010 Antlerless Elk - Cache, Rich - Any Legal Weapon","Cache, Rich",cache rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,6
EA1011,"Hunt: EA1011 Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon","Cache, Richards Hollow",cache richards hollow,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,7
EA1012,"Hunt: EA1012 Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon","Cache, Richmond Hyde Park",cache richmond hyde park,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,8
EA1013,"Hunt: EA1013 Antlerless Elk - Central Mtns, Central Manti - Any Legal Weapon","Central Mtns, Central Manti",central mtns central manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,9
EA1014,"Hunt: EA1014 Antlerless Elk - Central Mtns, Ephraim - Any Legal Weapon","Central Mtns, Ephraim",central mtns ephraim,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,10
EA1015,"Hunt: EA1015 Antlerless Elk - Central Mtns, Ferron Canyon - Any Legal Weapon","Central Mtns, Ferron Canyon",central mtns ferron canyon,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,11
EA1017,"Hunt: EA1017 Antlerless Elk - Central Mtns, Gordon Creek-price Canyon - Any Legal Weapon","Central Mtns, Gordon Creek-price Canyon",central mtns gordon creek price canyon,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,12
EA1018,"Hunt: EA1018 Antlerless Elk - Central Mtns, Horn Mtn - Any Legal Weapon","Central Mtns, Horn Mtn",central mtns horn mtn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,13
EA1019,"Hunt: EA1019 Antlerless Elk - Central Mtns, Milburn - Any Legal Weapon","Central Mtns, Milburn",central mtns milburn,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,14
EA1020,"Hunt: EA1020 Antlerless Elk - Central Mtns, Mohrland-stump Flat - Any Legal Weapon","Central Mtns, Mohrland-stump Flat",central mtns mohrland stump flat,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,15
EA1021,"Hunt: EA1021 Antlerless Elk - Central Mtns, Nebo - Any Legal Weapon","Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,16
EA1022,"Hunt: EA1022 Antlerless Elk - Central Mtns, North Manti - Any Legal Weapon","Central Mtns, North Manti",central mtns north manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,17
EA1023,"Hunt: EA1023 Antlerless Elk - Central Mtns, South Manti - Any Legal Weapon","Central Mtns, South Manti",central mtns south manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,18
EA1024,"Hunt: EA1024 Antlerless Elk - Central Mtns, South Manti - Any Legal Weapon","Central Mtns, South Manti",central mtns south manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,19
EA1025,"Hunt: EA1025 Antlerless Elk - Central Mtns, West Manti - Any Legal Weapon","Central Mtns, West Manti",central mtns west manti,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,20
EA1026,Hunt: EA1026 Antlerless Elk - Chalk Creek - Any Legal Weapon,Chalk Creek,chalk creek,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,21
EA1027,"Hunt: EA1027 Antlerless Elk - East Canyon, Davis-north Salt Lake - Any Legal Weapon","East Canyon, Davis-north Salt Lake",east canyon davis north salt lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,22
EA1028,"Hunt: EA1028 Antlerless Elk - East Canyon, Morgan - Any Legal Weapon","East Canyon, Morgan",east canyon morgan,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,23
EA1029,"Hunt: EA1029 Antlerless Elk - East Canyon, Summit - Any Legal Weapon","East Canyon, Summit",east canyon summit,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,24
EA1030,"Hunt: EA1030 Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant",fillmore pahvant,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,25
EA1031,"Hunt: EA1031 Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon","Fillmore, Pahvant",fillmore pahvant,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,26
EA1033,Hunt: EA1033 Antlerless Elk - Kamas - Any Legal Weapon,Kamas,kamas,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,27
EA1034,"Hunt: EA1034 Antlerless Elk - Kamas, Francis - Any Legal Weapon","Kamas, Francis",kamas francis,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,28
EA1035,"Hunt: EA1035 Antlerless Elk - Kamas, Oakley - Any Legal Weapon","Kamas, Oakley",kamas oakley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,29
EA1036,"Hunt: EA1036 Antlerless Elk - Kamas, West Hills - Any Legal Weapon","Kamas, West Hills",kamas west hills,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,30
EA1037,"Hunt: EA1037 Antlerless Elk - La Sal, Dolores Triangle - Any Legal Weapon","La Sal, Dolores Triangle",la sal dolores triangle,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,31
