hunt_code,parsed_unit,parsed_unit_norm,boundary_id,boundary_name,boundary_source,boundary_match_status,source_pdf,pdf_page,hunt_line
BI6507,"Book Cliffs, Wild Horse Bench/nine Mile, Anthro",book cliffs wild horse bench nine mile anthro,822,"Book Cliffs, Wild Horse Bench/Nine Mile, Anthro",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__O.I.L - BISON DRAW RESULTS.pdf,7,"Hunt: BI6507 Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon Page 7"
BR7209,Monroe,monroe,629,Monroe,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,53,Hunt: BR7209 Monroe - Any Legal Weapon
BR7226,La Sal,la sal,684,La Sal,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,68,Hunt: BR7226 La Sal - Any Legal Weapon
BR7227,San Juan,san juan,710,San Juan,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,69,Hunt: BR7227 San Juan - Any Legal Weapon
BR7230,Cache/ogden,cache ogden,92,Cache/Ogden,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,72,Hunt: BR7230 Cache/ogden - Any Legal Weapon
BR7235,"Kamas/north Slope, Summit",kamas north slope summit,251,"Kamas/North Slope, Summit",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,77,"Hunt: BR7235 Kamas/north Slope, Summit - Any Legal Weapon"
CG1013,Paunsaugunt,paunsaugunt,163,Paunsaugunt,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,2,Hunt: CG1013 Paunsaugunt - Any Legal Weapon
CG1029,"Oquirrh-stansbury, East",oquirrh stansbury east,86,"Oquirrh-Stansbury, East",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,3,"Hunt: CG1029 Oquirrh-stansbury, East - Any Legal Weapon"
CG1030,"Beaver, East",beaver east,685,"Beaver, East",data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,4,"Hunt: CG1030 Beaver, East - Any Legal Weapon"
CG1034,Kamas,kamas,611,Kamas,data\hunt-boundaries-lite.geojson,EXACT_NORMALIZED_UNIT_NAME_MATCH,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,5,Hunt: CG1034 Kamas - Any Legal Weapon
