metric,name,count
rows_by_year,2019,2995
rows_by_year,2020,2907
rows_by_year,2021,2867
rows_by_year,2022,2865
rows_by_year,2023,2630
rows_by_year,2024,2777
rows_by_year,2025,2527
rows_by_year,2026,1678
rebuilt_rows_by_year,2023,2630
rebuilt_rows_by_year,2024,2777
rebuilt_rows_by_year,2025,2527
rebuilt_rows_by_year,2026,1678
