hunt_code,residency,points
BR7307,Nonresident,0
BR7307,Nonresident,1
BR7307,Nonresident,10
BR7307,Nonresident,11
BR7307,Nonresident,12
BR7307,Nonresident,13
BR7307,Nonresident,14
BR7307,Nonresident,15
BR7307,Nonresident,16
BR7307,Nonresident,17
BR7307,Nonresident,18
BR7307,Nonresident,19
BR7307,Nonresident,2
BR7307,Nonresident,20
BR7307,Nonresident,21
BR7307,Nonresident,22
BR7307,Nonresident,3
BR7307,Nonresident,4
BR7307,Nonresident,5
BR7307,Nonresident,6
BR7307,Nonresident,7
BR7307,Nonresident,8
BR7307,Nonresident,9
BR7307,Resident,0
BR7307,Resident,1
BR7307,Resident,10
BR7307,Resident,11
BR7307,Resident,12
BR7307,Resident,13
BR7307,Resident,14
BR7307,Resident,15
BR7307,Resident,16
BR7307,Resident,17
BR7307,Resident,18
BR7307,Resident,19
BR7307,Resident,2
BR7307,Resident,20
BR7307,Resident,21
BR7307,Resident,22
BR7307,Resident,3
BR7307,Resident,4
BR7307,Resident,5
BR7307,Resident,6
BR7307,Resident,7
BR7307,Resident,8
BR7307,Resident,9
DA1050,Nonresident,20
DA1050,Resident,20
EA2038,Nonresident,20
EA2038,Resident,20
MA1010,Nonresident,20
MA1010,Resident,20
PD1060,Nonresident,20
PD1060,Resident,20
