hunt_code,residency,points,reason
BI1000,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
BR1000,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
DB0007,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
DS1000,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
EB1000,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
GO1000,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
MB1000,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
PB1000,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
RS0001,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
TK0001,Resident,,hunt_code_reused_by_sportsman_draw_and_conservation_allocation
