source_file,page_number,hunt_code,hunt_name,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,19,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,19,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,18,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,18,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,17,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,17,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,16,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,16,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,15,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,15,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,14,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,14,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,13,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,13,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,12,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,12,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,11,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,11,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,10,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,10,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,9,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,9,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,8,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,8,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,7,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,7,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,6,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,6,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,5,1,0,1,1,1 in 1.0
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,5,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,4,2,0,2,2,1 in 1.0
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,4,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,3,9,0,9,9,1 in 1.0
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,3,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,2,9,0,9,9,1 in 1.0
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,2,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,1,17,0,3,3,1 in 5.7
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,1,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,0,30,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,2,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,0,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,19,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,19,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,18,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,18,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,17,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,17,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,16,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,16,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,15,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,15,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Resident,14,0,0,0,0,N/A
25_antlerless_drawing_odds_report.pdf,3,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Nonresident,14,0,0,0,0,N/A
