hunt_code,residency,points,row_count,payload_count,source_files,pages,payloads
BI6537,Nonresident,1,2,2,25_bg-odds.pdf,549|550,"202,0,0,0|810,0,0,0"
BI6537,Nonresident,10,2,2,25_bg-odds.pdf,549|550,"487,0,0,0|79,0,0,0"
BI6537,Nonresident,11,2,2,25_bg-odds.pdf,549|550,"438,0,0,0|78,0,1,1"
BI6537,Nonresident,12,2,2,25_bg-odds.pdf,549|550,"439,0,0,0|87,0,0,0"
BI6537,Nonresident,13,2,2,25_bg-odds.pdf,549|550,"464,0,1,1|64,0,0,0"
BI6537,Nonresident,14,2,2,25_bg-odds.pdf,549|550,"464,0,0,0|53,0,0,0"
BI6537,Nonresident,15,2,2,25_bg-odds.pdf,549|550,"105,0,0,0|555,0,0,0"
BI6537,Nonresident,16,2,2,25_bg-odds.pdf,549|550,"145,0,0,0|885,0,0,0"
BI6537,Nonresident,17,2,2,25_bg-odds.pdf,549|550,"15,0,0,0|278,0,0,0"
BI6537,Nonresident,18,2,2,25_bg-odds.pdf,549|550,"250,0,0,0|8,0,0,0"
BI6537,Nonresident,19,2,2,25_bg-odds.pdf,549|550,"240,0,0,0|7,0,0,0"
BI6537,Nonresident,2,2,2,25_bg-odds.pdf,549|550,"186,0,0,0|741,0,0,0"
BI6537,Nonresident,20,2,2,25_bg-odds.pdf,549|550,"227,0,0,0|9,0,0,0"
BI6537,Nonresident,21,2,2,25_bg-odds.pdf,549|550,"215,0,0,0|6,0,0,0"
BI6537,Nonresident,22,2,2,25_bg-odds.pdf,549|550,"158,0,0,0|4,0,0,0"
BI6537,Nonresident,23,2,2,25_bg-odds.pdf,549|550,"140,0,0,0|5,0,0,0"
BI6537,Nonresident,24,2,2,25_bg-odds.pdf,549|550,"117,0,0,0|5,0,0,0"
BI6537,Nonresident,25,2,2,25_bg-odds.pdf,549|550,"106,0,1,1|2,0,0,0"
BI6537,Nonresident,26,2,2,25_bg-odds.pdf,549|550,"64,0,1,1|7,0,0,0"
BI6537,Nonresident,27,2,2,25_bg-odds.pdf,549|550,"2,2,0,2|32,0,1,1"
BI6537,Nonresident,28,2,2,25_bg-odds.pdf,549|550,"1,1,0,1|35,0,0,0"
BI6537,Nonresident,29,2,2,25_bg-odds.pdf,549|550,"0,0,0,0|39,0,0,0"
BI6537,Nonresident,3,2,2,25_bg-odds.pdf,549|550,"173,0,0,0|605,0,0,0"
BI6537,Nonresident,30,2,2,25_bg-odds.pdf,549|550,"0,0,0,0|28,0,0,0"
BI6537,Nonresident,31,2,2,25_bg-odds.pdf,549|550,"0,0,0,0|22,1,0,1"
BI6537,Nonresident,32,2,2,25_bg-odds.pdf,549|550,"0,0,0,0|11,3,0,3"
BI6537,Nonresident,4,2,2,25_bg-odds.pdf,549|550,"155,0,0,0|667,0,0,0"
BI6537,Nonresident,5,2,2,25_bg-odds.pdf,549|550,"154,0,0,0|638,0,0,0"
BI6537,Nonresident,6,2,2,25_bg-odds.pdf,549|550,"180,0,1,1|676,0,1,1"
