hunt_code,hunt_name,raw_hunt_name,species,sex_type,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio,p_draw_percent,source_pdf_page
DB0007,Sportsman Buck Deer,Sportsman Buck Deer,Deer,Buck,15826,0,1,1,1 in 15826.0,0.00631872,1
EB1000,Sportsman Bull Elk,Sportsman Bull Elk,Elk,Bull,16001,0,1,1,1 in 16001.0,0.00624961,2
PB1000,Sportsman Buck Pronghorn,Sportsman Buck Pronghorn,Pronghorn,Buck,6415,0,1,1,1 in 6415.0,0.01558846,3
MB1000,Sportsman Bull Moose,Sportsman Bull Moose,Moose,Bull,9193,0,1,1,1 in 9193.0,0.01087784,4
BI1000,Sportsman Bison,Sportsman Bison,Bison,Either Sex,7893,0,1,1,1 in 7893.0,0.01266945,5
RS0001,Sportsman Rocky Mountain Bighorn Sheep,Sportsman Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Ram,7220,0,1,1,1 in 7220.0,0.01385042,6
DS1000,Sportsman Desert Bighorn Sheep,Sportsman Desert Bighorn Sheep,Desert Bighorn Sheep,Ram,7132,0,1,1,1 in 7132.0,0.01402131,7
GO1000,Sportsman Mountain Goat,Sportsman Mountain Goat,Mountain Goat,Either Sex,5675,0,1,1,1 in 5675.0,0.01762115,8
BR1000,Sportsman Black Bear,Sportsman Black Bear,Black Bear,Either Sex,3490,0,1,1,1 in 3490.0,0.02865330,9
TK0001,Sportsman Bearded Turkey,Sportsman Bearded Turkey,Turkey,Bearded,1922,0,1,1,1 in 1922.0,0.05202914,10
