source_group,file,hunt_code_count,error
staged_xlsx,2025-27 Conservation Permits.xlsx,156,
staged_xlsx,2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,5,
staged_xlsx,2026 BISON HUNTERS CHOICE GENERAL SEASON ANY LEGAL WEAPON.xlsx,2,
staged_xlsx,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,8,
staged_xlsx,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx,3,
staged_xlsx,2026 BISON HUNTERS CHOICE STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 BLACK BEAR EITHER SEX PURSUIT PURSUIT ONLY.xlsx,1,
staged_xlsx,2026 BLACK BEAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 COUGAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 DEER ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,4,
staged_xlsx,2026 DEER ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,4,
staged_xlsx,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx,5,
staged_xlsx,2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx,7,
staged_xlsx,2026 DEER BUCK CACTUS BUCK ANY LEGAL WEAPON 2.xlsx,1,
staged_xlsx,2026 DEER BUCK CACTUS BUCK ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 DEER BUCK CONSERVATION ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 DEER BUCK CONSERVATION ARCHERY.xlsx,1,
staged_xlsx,2026 DEER BUCK CONSERVATION MULTISEASON.xlsx,1,
staged_xlsx,2026 DEER BUCK CONSERVATION MUZZLELOADER.xlsx,1,
staged_xlsx,2026 DEER BUCK CWMU ANY LEGAL WEAPON.xlsx,110,
staged_xlsx,2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON EARLY.xlsx,1,
staged_xlsx,2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON LATE.xlsx,3,
staged_xlsx,2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,36,
staged_xlsx,2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ARCHERY.xlsx,31,
staged_xlsx,2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY MUZZLELOADER.xlsx,28,
staged_xlsx,2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY RESTRICTED MUZZLELOADER.xlsx,3,
staged_xlsx,2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY RESTRICTED RIFLE.xlsx,3,
staged_xlsx,2026 DEER BUCK GENERAL SEASON ANY LEGAL WEAPON EARLY.xlsx,12,
staged_xlsx,2026 DEER BUCK GENERAL SEASON ANY LEGAL WEAPON LATE.xlsx,28,
staged_xlsx,2026 DEER BUCK GENERAL SEASON ARCHERY.xlsx,31,
staged_xlsx,2026 DEER BUCK GENERAL SEASON DEDICATED HUNTER.xlsx,31,
staged_xlsx,2026 DEER BUCK GENERAL SEASON MUZZLELOADER.xlsx,28,
staged_xlsx,2026 DEER BUCK GENERAL SEASON RESTRICTED MUZZLELOADER.xlsx,3,
staged_xlsx,2026 DEER BUCK GENERAL SEASON RESTRICTED RIFLE.xlsx,3,
staged_xlsx,2026 DEER BUCK L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,4,
staged_xlsx,2026 DEER BUCK L.E - PRIVATE LAND ONLY ARCHERY.xlsx,2,
staged_xlsx,2026 DEER BUCK L.E - PRIVATE LAND ONLY MUZZLELOADER.xlsx,1,
staged_xlsx,2026 DEER BUCK L.E - PRIVATE LAND ONLY RESTRICTED RIFLE.xlsx,1,
staged_xlsx,2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx,10,
staged_xlsx,2026 DEER BUCK L.E ARCHERY.xlsx,6,
staged_xlsx,2026 DEER BUCK L.E HAMSS HANDGUN ARCHERY MUZZLELOADER SHOTGUN OR STRAIGHT-WALLED RIFLE.xlsx,4,
staged_xlsx,2026 DEER BUCK L.E MULTISEASON.xlsx,5,
staged_xlsx,2026 DEER BUCK L.E MUZZLELOADER.xlsx,38,
staged_xlsx,2026 DEER BUCK L.E RESTRICTED ARCHERY.xlsx,1,
staged_xlsx,2026 DEER BUCK L.E RESTRICTED MULTISEASON.xlsx,1,
staged_xlsx,2026 DEER BUCK L.E RESTRICTED MUZZLELOADER.xlsx,1,
staged_xlsx,2026 DEER BUCK L.E RESTRICTED RIFLE.xlsx,1,
staged_xlsx,2026 DEER BUCK MANAGEMENT BUCK DEER ANY LEGAL WEAPON.xlsx,3,
staged_xlsx,2026 DEER BUCK MANAGEMENT BUCK DEER ARCHERY.xlsx,1,
staged_xlsx,2026 DEER BUCK MANAGEMENT BUCK DEER MUZZLELOADER.xlsx,1,
staged_xlsx,2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx,4,
staged_xlsx,2026 DEER BUCK P.L.E ARCHERY.xlsx,2,
staged_xlsx,2026 DEER BUCK P.L.E MULTISEASON.xlsx,2,
staged_xlsx,2026 DEER BUCK P.L.E MUZZLELOADER.xlsx,2,
staged_xlsx,2026 DEER BUCK STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx,4,
staged_xlsx,2026 DEER BUCK TRIBAL ARCHERY.xlsx,3,
staged_xlsx,2026 DEER BUCK TRIBAL MUZZLELOADER.xlsx,3,
staged_xlsx,2026 DEER HUNTERS CHOICE EXTENDED ARCHERY ARCHERY.xlsx,1,
staged_xlsx,2026 DESERT BIGHORN SHEEP RAM CONSERVATION ANY LEGAL WEAPON.xlsx,6,
staged_xlsx,2026 DESERT BIGHORN SHEEP RAM ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,17,
staged_xlsx,2026 DESERT BIGHORN SHEEP RAM ONCE-IN-A-LIFETIME ARCHERY.xlsx,1,
staged_xlsx,2026 ELK ANTLERLESS ANTLERLESS ELK CONTROL ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 ELK ANTLERLESS CONSERVATION ANY LEGAL WEAPON.xlsx,5,
staged_xlsx,2026 ELK ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,59,
staged_xlsx,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,98,
staged_xlsx,2026 ELK ANTLERLESS GENERAL SEASON ARCHERY.xlsx,9,
staged_xlsx,2026 ELK ANTLERLESS GENERAL SEASON MUZZLELOADER.xlsx,5,
staged_xlsx,2026 ELK ANTLERLESS PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,27,
staged_xlsx,2026 ELK BULL CONSERVATION MULTISEASON.xlsx,2,
staged_xlsx,2026 ELK BULL CWMU ANY LEGAL WEAPON.xlsx,64,
staged_xlsx,2026 ELK BULL GENERAL SEASON - ANY BULL ANY LEGAL WEAPON GENERAL BULL.xlsx,3,
staged_xlsx,2026 ELK BULL GENERAL SEASON - ANY BULL ANY LEGAL WEAPON YOUTH.xlsx,1,
staged_xlsx,2026 ELK BULL GENERAL SEASON - ANY BULL MUZZLELOADER.xlsx,1,
staged_xlsx,2026 ELK BULL GENERAL SEASON - ARCHERY ARCHERY.xlsx,1,
staged_xlsx,2026 ELK BULL GENERAL SEASON - SPIKE BULL ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 ELK BULL GENERAL SEASON - SPIKE BULL MULTISEASON.xlsx,1,
staged_xlsx,2026 ELK BULL GENERAL SEASON - SPIKE BULL MUZZLELOADER.xlsx,1,
staged_xlsx,2026 ELK BULL GENERAL SEASON - YOUTH ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 ELK BULL L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON LATE.xlsx,1,
staged_xlsx,2026 ELK BULL L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,62,
staged_xlsx,2026 ELK BULL L.E - PRIVATE LAND ONLY ARCHERY.xlsx,42,
staged_xlsx,2026 ELK BULL L.E - PRIVATE LAND ONLY HAMSS.xlsx,5,
staged_xlsx,2026 ELK BULL L.E - PRIVATE LAND ONLY MUZZLELOADER.xlsx,21,
staged_xlsx,2026 ELK BULL L.E ANY LEGAL WEAPON.xlsx,60,
staged_xlsx,2026 ELK BULL L.E ARCHERY.xlsx,46,
staged_xlsx,2026 ELK BULL L.E MULTISEASON.xlsx,19,
staged_xlsx,2026 ELK BULL L.E MUZZLELOADER.xlsx,20,
staged_xlsx,2026 ELK BULL STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 ELK HUNTERS CHOICE EXTENDED ARCHERY ARCHERY.xlsx,1,
staged_xlsx,2026 MOOSE ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,2,
staged_xlsx,2026 MOOSE ANTLERLESS L.E ANY LEGAL WEAPON.xlsx,2,
staged_xlsx,2026 MOOSE ANTLERLESS L.E ARCHERY.xlsx,1,
staged_xlsx,2026 MOOSE MALE ONLY CWMU ANY LEGAL WEAPON.xlsx,13,
staged_xlsx,2026 MOOSE MALE ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,13,
staged_xlsx,2026 MOOSE MALE ONLY STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 MOUNTAIN GOAT HUNTER'S CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,15,
staged_xlsx,2026 MOUNTAIN GOAT HUNTER'S CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx,2,
staged_xlsx,2026 MOUNTAIN GOAT HUNTER'S CHOICE STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 PRONGHORN ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,8,
staged_xlsx,2026 PRONGHORN ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,13,
staged_xlsx,2026 PRONGHORN ANTLERLESS GENERAL SEASON ARCHERY.xlsx,1,
staged_xlsx,2026 PRONGHORN ANTLERLESS GENERAL SEASON MUZZLELOADER.xlsx,1,
staged_xlsx,2026 PRONGHORN BUCK CWMU ANY LEGAL WEAPON.xlsx,21,
staged_xlsx,2026 PRONGHORN BUCK L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,6,
staged_xlsx,2026 PRONGHORN BUCK L.E ANY LEGAL WEAPON.xlsx,28,
staged_xlsx,2026 PRONGHORN BUCK L.E ARCHERY.xlsx,25,
staged_xlsx,2026 PRONGHORN BUCK L.E MUZZLELOADER.xlsx,13,
staged_xlsx,2026 PRONGHORN BUCK STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 ROCKY MOUNTAIN BIGHORN SHEEP ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY CONSERVATION ANY LEGAL WEAPON.xlsx,3,
staged_xlsx,2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,14,
staged_xlsx,2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY ONCE-IN-A-LIFETIME ARCHERY.xlsx,2,
staged_xlsx,2026 ROCKY MOUNTAIN BIGHORN SHEEP MALE ONLY STATEWIDE ANY LEGAL WEAPON.xlsx,1,
staged_xlsx,2026 SHEEP ROCKY MTN.xlsx,2,
staged_xlsx,2026 TURKEY BEARDED CONSERVATION ANY LEGAL WEAPON.xlsx,5,
staged_xlsx,2026 TURKEY BEARDED CWMU ANY LEGAL WEAPON.xlsx,2,
staged_xlsx,2026 TURKEY BEARDED L.E ANY LEGAL WEAPON.xlsx,5,
