hunt_code,prefix,source_count,sources
BR7224,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7225,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7228,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7229,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7238,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7239,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7300,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7301,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7303,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7304,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7305,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7308,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7309,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7310,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7311,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7312,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7313,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7314,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7315,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7316,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7317,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7318,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7320,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7321,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7322,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7323,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7325,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7326,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
DB0007,DB,1,utahdraws_sportsman_2026_sportsman_deer_mht22.json
DB0008,DB,1,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1000,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1001,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1002,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1003,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1004,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1005,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1006,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1007,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1008,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1009,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1010,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1011,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1012,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1013,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1014,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1015,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1016,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1017,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1018,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1019,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1020,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1022,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1023,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1024,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1025,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1026,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1028,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1029,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1030,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
DB1031,DB,1,utahdraws_big_game_2026_limited_entry_buck_deer_mht8.json
