title,raw_pdf,family_pdf,hunt_count,resident_permits,nonresident_permits,total_permits
ANTLERLESS DEER PERMIT QUOTA,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2026_PERMITS=2027_MODEL\2026_PERMITS=2027_MODEL__ANTLERLESS DEER PERMIT QUOTA.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS DEER PERMIT QUOTA.pdf,21,0,0,378
ANTLERLESS ELK PERMIT QUOTA,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2026_PERMITS=2027_MODEL\2026_PERMITS=2027_MODEL__ANTLERLESS ELK PERMIT QUOTA.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS ELK PERMIT QUOTA.pdf,210,11819,1202,22851
ANTLERLESS MOOSE PERMIT QUOTA,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2026_PERMITS=2027_MODEL\2026_PERMITS=2027_MODEL__ANTLERLESS MOOSE PERMIT QUOTA.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS MOOSE PERMIT QUOTA.pdf,5,9,1,10
ANTLERLESS PERMIT QUOTA SUMMARY,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2026_PERMITS=2027_MODEL\2026_PERMITS=2027_MODEL__ANTLERLESS PERMIT QUOTA SUMMARY.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__ANTLERLESS PERMIT QUOTA SUMMARY.pdf,262,12371,1254,23833
DOE PRONGHORN PERMIT QUOTA,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2026_PERMITS=2027_MODEL\2026_PERMITS=2027_MODEL__DOE PRONGHORN PERMIT QUOTA.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__DOE PRONGHORN PERMIT QUOTA.pdf,25,539,50,589
EWE ROCKY MTN SHEEP PERMIT QUOTA,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2026_PERMITS=2027_MODEL\2026_PERMITS=2027_MODEL__EWE ROCKY MTN SHEEP PERMIT QUOTA.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\outputs\2026_PERMITS=2027_MODEL_species_family_docs\pdf\2026_PERMITS=2027_MODEL__EWE ROCKY MTN SHEEP PERMIT QUOTA.pdf,1,4,1,5
