hunt_code,prefix,source_count,sources
BI1000,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6500,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6503,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6504,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6505,BI,1,dwr_huntboundary_bison_cow_only.json
BI6506,BI,1,dwr_huntboundary_bison_cow_only.json
BI6509,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6516,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6527,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6528,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6529,BI,1,dwr_huntboundary_bison_cow_only.json
BI6531,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6532,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6534,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6535,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6536,BI,1,dwr_huntboundary_bison_cow_only.json
BI6537,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6538,BI,1,dwr_huntboundary_bison_hunters_choice.json
BI6539,BI,1,dwr_huntboundary_bison_cow_only.json
BR1000,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1001,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1007,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1008,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1009,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1010,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1011,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1012,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1013,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1015,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1016,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1017,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR1018,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7000,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7001,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7003,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7004,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7005,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7007,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7009,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7010,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7011,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7012,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7013,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7014,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7015,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7016,BR,1,dwr_huntboundary_black_bear_either_sex.json
BR7017,BR,1,dwr_huntboundary_black_bear_either_sex.json
