source_name,source_file,hunt_code,source_hunt_name,source_species,source_sex_type,source_hunt_type,source_weapon,source_season,source_permits_res,source_permits_nr,source_permits_total,canonical_present,canonical_rows,canonical_hunt_names,canonical_species,canonical_sex_type,canonical_hunt_type,canonical_draw_design,canonical_weapon,canonical_season,canonical_permits_res_values,canonical_permits_nr_values,canonical_permits_total_values,canonical_boundary_id_values,status
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6500,Antelope Island,Antelope Island Bison,,Once-in-a-lifetime,,,2,0,2,True,66,Antelope Island,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,2,0,2,1,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6503,Henry Mtns,Bison (Hunter's Choice),,Once-in-a-lifetime,,,3,2,5,True,62,Henry Mtns,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,3,2,5,94,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6504,Henry Mtns,Bison (Hunter's Choice),,Once-in-a-lifetime,,,5,2,7,True,60,Henry Mtns,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,5,2,7,94,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6505,Henry Mtns,Bison (Cow Only),,Once-in-a-lifetime,,,8,2,10,True,54,Henry Mtns,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,8,2,10,94,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6506,Henry Mtns,Bison (Cow Only),,Once-in-a-lifetime,,,11,0,11,True,54,Henry Mtns,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,11,0,11,94,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6509,Henry Mtns,Bison (Hunter's Choice),,Once-in-a-lifetime,,,5,0,5,True,48,Henry Mtns,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,5,0,5,94,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6516,Henry Mtns,Bison (Hunter's Choice),,Once-in-a-lifetime,,,6,0,6,True,60,Henry Mtns,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,6,0,6,94,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6528,"Book Cliffs, Little Creek/South",Bison (Hunter's Choice),,Once-in-a-lifetime,,,6,0,6,True,48,"Book Cliffs, Little Creek/South",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,6,0,6,889,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6529,"Book Cliffs, Little Creek/South",Bison (Cow Only),,Once-in-a-lifetime,,,8,0,8,True,40,"Book Cliffs, Little Creek/South",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,8,0,8,889,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6531,"Book Cliffs, Little Creek/South",Bison (Hunter's Choice),,Once-in-a-lifetime,,,9,0,9,True,60,"Book Cliffs, Little Creek/South",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,9,0,9,889,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6532,"Book Cliffs, Bitter Creek",Bison (Hunter's Choice),,Once-in-a-lifetime,,,6,0,6,True,54,"Book Cliffs, Bitter Creek",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,6,0,6,667,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6534,"Book Cliffs, Bitter Creek",Bison (Hunter's Choice),,Once-in-a-lifetime,,,10,0,10,True,60,"Book Cliffs, Bitter Creek",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,10,0,10,667,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6535,"Book Cliffs, Bitter Creek",Bison (Hunter's Choice),,Once-in-a-lifetime,,,8,0,8,True,56,"Book Cliffs, Bitter Creek",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,8,0,8,667,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6536,"Book Cliffs, Bitter Creek",Bison (Cow Only),,Once-in-a-lifetime,,,14,0,14,True,52,"Book Cliffs, Bitter Creek",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,14,0,14,667,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6537,"Book Cliffs, Little Creek/South",Bison (Hunter's Choice),,Once-in-a-lifetime,,,8,7,15,True,58,"Book Cliffs, Little Creek/South",Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,8,7,15,889,matched_or_not_checkable
utahdraws_2026_live,utahdraws_big_game_2026_bison_mht12.json,BI6539,Henry Mtns,Bison (Cow Only),,Once-in-a-lifetime,,,11,0,11,True,38,Henry Mtns,Bison,Either Sex,Once-in-a-Lifetime,Max/Weighted Split | Unlimited,,,11,0,11,94,matched_or_not_checkable
