hunt_code,hunt_name,species,sex_type,hunt_type_raw,weapon,season,source_permits_res,source_permits_nr,source_permits_total,canonical_match_count,status,source_file
DA1001,"Box Elder, West Bear River",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Aug 18 2026 - Aug 30 2026,,,30,1,matched,dwr_huntboundary_deer_antlerless.json
DA1002,"Box Elder, West Bear River",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Nov 24 2026 - Nov 29 2026,,,30,1,matched,dwr_huntboundary_deer_antlerless.json
DA1003,"Monroe/Plateau, Sevier Valley",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Sept 01 2026 - Sept 30 2026,,,15,1,matched,dwr_huntboundary_deer_antlerless.json
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,General Season,Any Legal Weapon,Aug 01 2026 - Aug 12 2026,,,20,1,matched,dwr_huntboundary_deer_antlerless.json
DA1011,George Creek CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,5,1,matched,dwr_huntboundary_deer_antlerless.json
DA1012,Junction Valley CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,15,1,matched,dwr_huntboundary_deer_antlerless.json
DA1013,Mt Carmel CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,5,1,matched,dwr_huntboundary_deer_antlerless.json
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Aug 01 2026 - Aug 12 2026,,,15,1,matched,dwr_huntboundary_deer_antlerless.json
DA1027,"East Canyon, Davis-North Salt Lake",Deer,Antlerless,General Season,Any Legal Weapon,Aug 01 2026 - Sept 15 2026,,,30,1,matched,dwr_huntboundary_deer_antlerless.json
DA1030,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,25,1,matched,dwr_huntboundary_deer_antlerless.json
DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,Antlerless,General Season,Archery,Aug 15 2026 - Sept 11 2026,,,20,1,matched,dwr_huntboundary_deer_antlerless.json
DA1033,"San Juan, Monticello",Deer,Antlerless,General Season,Archery,Aug 01 2026 - Sept 14 2026,,,10,1,matched,dwr_huntboundary_deer_antlerless.json
DA1041,"Nine Mile, Green River Valley",Deer,Antlerless,General Season,Any Legal Weapon,Oct 03 2026 - Oct 25 2026,,,15,1,matched,dwr_huntboundary_deer_antlerless.json
DA1042,"San Juan, Monticello",Deer,Antlerless,General Season,Archery,Nov 24 2026 - Dec 31 2026,,,5,1,matched,dwr_huntboundary_deer_antlerless.json
DA1045,"Fillmore, Oak City",Deer,Antlerless,General Season,Archery,Aug 01 2026 - Sept 04 2026,,,20,1,matched,dwr_huntboundary_deer_antlerless.json
DA1046,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",Sept 12 2026 - Oct 09 2026,,,25,1,matched,dwr_huntboundary_deer_antlerless.json
DA1047,Vernal-Ouray Valley,Deer,Antlerless,General Season,Any Legal Weapon,Sept 26 2026 - Dec 11 2026,,,25,1,matched,dwr_huntboundary_deer_antlerless.json
DA1048,Fillmore City,Deer,Antlerless,General Season,Archery,Aug 01 2026 - Sept 04 2026,,,15,1,matched,dwr_huntboundary_deer_antlerless.json
DA1049,"Vernal, Ashley Valley",Deer,Antlerless,General Season,Archery,Aug 15 2026 - Dec 11 2026,,,35,1,matched,dwr_huntboundary_deer_antlerless.json
DA1050,The Rose of Snowville CWMU,Deer,Antlerless,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,8,1,matched,dwr_huntboundary_deer_antlerless.json
DA1051,Beaver City,Deer,Antlerless,General-Season,Archery,Aug 01 2026 - Sept 04 2026,,,10,1,matched,dwr_huntboundary_deer_antlerless.json
EA1007,"Box Elder, Grouse Creek",Elk,Antlerless,General Season,Any Legal Weapon,Nov 06 2026 - Jan 31 2027,27,3,30,1,matched,dwr_huntboundary_elk_antlerless.json
EA1010,"Cache, Rich",Elk,Antlerless,General Season,Any Legal Weapon,Oct 03 2026 - Oct 25 2026,31,4,35,1,matched,dwr_huntboundary_elk_antlerless.json
EA1011,"Cache, Richards Hollow",Elk,Antlerless,General Season,Any Legal Weapon,Nov 14 2026 - Dec 31 2026,18,2,20,1,matched,dwr_huntboundary_elk_antlerless.json
EA1013,"Manti, Central",Elk,Antlerless,General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,63,7,70,1,matched,dwr_huntboundary_elk_antlerless.json
EA1015,"Manti, Ferron Canyon",Elk,Antlerless,General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,63,7,70,1,matched,dwr_huntboundary_elk_antlerless.json
EA1017,"Manti, Gordon Creek-Price Canyon",Elk,Antlerless,General Season,Any Legal Weapon,Nov 25 2026 - Jan 31 2027,90,10,100,1,matched,dwr_huntboundary_elk_antlerless.json
EA1018,"Manti, Horn Mtn",Elk,Antlerless,General Season,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,54,6,60,1,matched,dwr_huntboundary_elk_antlerless.json
EA1020,"Manti, Mohrland-Stump Flat",Elk,Antlerless,General Season,Any Legal Weapon,Nov 25 2026 - Jan 31 2027,108,12,120,1,matched,dwr_huntboundary_elk_antlerless.json
EA1021,Nebo,Elk,Antlerless,General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,252,28,280,1,matched,dwr_huntboundary_elk_antlerless.json
