hunt_code,hunt_name,species,sex_type,hunt_type,draw_design,weapon,season,boundary_id,permits_2026_res,permits_2026_nr,permits_2026_total,source_file
DA1001,"Box Elder, West Bear River",Deer,Antlerless,General Season,Preference,"Archery, Muzzleloader, Shotgun",Aug 18 2026 - Aug 30 2026,28,,,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1002,"Box Elder, West Bear River",Deer,Antlerless,General Season,Preference,"Archery, Muzzleloader, Shotgun",Nov 24 2026 - Nov 29 2026,28,,,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1003,"Monroe/Plateau, Sevier Valley",Deer,Antlerless,General Season,Preference,"Archery, Muzzleloader, Shotgun",Sept 01 2026 - Sept 30 2026,115,,,15,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,General Season,Preference,Any Legal Weapon,Aug 01 2026 - Aug 12 2026,169,,,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1011,George Creek CWMU,Deer,Antlerless,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,806,,,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1012,Junction Valley CWMU,Deer,Antlerless,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,589,,,15,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1013,Mt Carmel CWMU,Deer,Antlerless,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,533,,,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,General Season,Preference,"Archery, Muzzleloader, Shotgun",Aug 01 2026 - Aug 12 2026,840,,,15,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1027,"East Canyon, Davis-North Salt Lake",Deer,Antlerless,General Season,Preference,Any Legal Weapon,Aug 01 2026 - Sept 15 2026,77,,,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1030,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,Preference,Archery,Aug 15 2026 - Sept 11 2026,11,,,25,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,Antlerless,General Season,Preference,Archery,Aug 15 2026 - Sept 11 2026,21,,,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1033,"San Juan, Monticello",Deer,Antlerless,General Season,Preference,Archery,Aug 01 2026 - Sept 14 2026,23,,,10,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1041,"Nine Mile, Green River Valley",Deer,Antlerless,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 25 2026,6,,,15,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1042,"San Juan, Monticello",Deer,Antlerless,General Season,Preference,Archery,Nov 24 2026 - Dec 31 2026,23,,,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1045,"Fillmore, Oak City",Deer,Antlerless,General Season,Preference,Archery,Aug 01 2026 - Sept 04 2026,474,,,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1046,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,Preference,"Archery, Muzzleloader, Shotgun",Sept 12 2026 - Oct 09 2026,11,,,25,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1047,Vernal-Ouray Valley,Deer,Antlerless,General Season,Preference,Any Legal Weapon,Sept 26 2026 - Dec 11 2026,895,,,25,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1048,Fillmore City,Deer,Antlerless,General Season,Preference,Archery,Aug 01 2026 - Sept 04 2026,910,,,15,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1049,"Vernal, Ashley Valley",Deer,Antlerless,General Season,Preference,Archery,Aug 15 2026 - Dec 11 2026,909,,,35,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1050,The Rose of Snowville CWMU,Deer,Antlerless,CWMU,Preference,Any Legal Weapon,Contact Operator for 2026 season dates,509,,,8,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
DA1051,Beaver City,Deer,Antlerless,General Season,Preference,Archery,Aug 01 2026 - Sept 04 2026,955,,,10,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless
EA1007,"Box Elder, Grouse Creek",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Nov 06 2026 - Jan 31 2027,867,27,3,30,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1010,"Cache, Rich",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 25 2026,38,31,4,35,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1011,"Cache, Richards Hollow",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Nov 14 2026 - Dec 31 2026,39,18,2,20,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1013,"Manti, Central",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,43,63,7,70,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1015,"Manti, Ferron Canyon",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,45,63,7,70,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1017,"Manti, Gordon Creek-Price Canyon",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Nov 25 2026 - Jan 31 2027,47,90,10,100,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1018,"Manti, Horn Mtn",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,49,54,6,60,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1020,"Manti, Mohrland-Stump Flat",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Nov 25 2026 - Jan 31 2027,55,108,12,120,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1021,Nebo,Elk,Antlerless,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,616,252,28,280,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
EA1022,"Manti, North",Elk,Antlerless,General Season,Preference,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,58,270,30,300,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Elk&gender=Antlerless
