comparison,hunt_code,prefix,sources
staged_xlsx_missing_from_fresh_downloads,BI6530,BI,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,BR7008,BR,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,BR7019,BR,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,BR7108,BR,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,BR7208,BR,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DA1044,DA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1036,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1059,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1082,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1088,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1089,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1094,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1276,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1320,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1324,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1338,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1343,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1344,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DB1345,DB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,DS6602,DS,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1012,EA,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1040,EA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1049,EA,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1074,EA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1116,EA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1126,EA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1174,EA,2026 ELK ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_ELK_ANTLERLESS.xlsx; 2026_ELK_ANTLERLESS_CWMU.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1176,EA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1187,EA,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1206,EA,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1234,EA,2026 ELK ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_ELK_ANTLERLESS.xlsx; 2026_ELK_ANTLERLESS_CWMU.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1252,EA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1259,EA,2026 ELK ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_ELK_ANTLERLESS.xlsx; 2026_ELK_ANTLERLESS_CWMU.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1278,EA,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1279,EA,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1280,EA,2026 ELK ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EA1282,EA,2026 ELK ANTLERLESS GENERAL SEASON ARCHERY.xlsx; 2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx; 2026_ELK_ANTLERLESS.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EB3561,EB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EB3609,EB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EB3616,EB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,EB3617,EB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MA1006,MA,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MA1009,MA,2026 MOOSE ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; 2026_MOOSE_COW.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6200,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6207,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6209,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6217,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6220,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6223,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6224,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6225,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6240,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6254,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6257,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6259,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6263,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,MB6264,MB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PB5313,PB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PB5341,PB,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1006,PD,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1025,PD,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1032,PD,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1045,PD,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1046,PD,MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1049,PD,2026 PRONGHORN ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1051,PD,2026 PRONGHORN ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; MASTER.xlsx
staged_xlsx_missing_from_fresh_downloads,PD1052,PD,2026 PRONGHORN ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx; MASTER.xlsx
fresh_downloads_missing_from_staged_xlsx,DA1051,DA,dwr_huntboundary_deer_antlerless.json
fresh_downloads_missing_from_staged_xlsx,DG1000,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_xlsx,DG1001,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_xlsx,DG1002,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_xlsx,DG1003,DG,dwr_huntboundary_goose_dark_either_sex.json
fresh_downloads_missing_from_staged_xlsx,DK1000,DK,dwr_huntboundary_waterfowl_either_sex.json
fresh_downloads_missing_from_staged_xlsx,DK1001,DK,dwr_huntboundary_waterfowl_either_sex.json
