hunt_code,prefix,source_count,sources
BI1000,BI,3,2026_PERMITS=2027_MODEL__SPORTSMAN BISON DRAW RESULTS.pdf; 2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1013,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1015,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1016,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1017,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7000,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7001,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7003,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7004,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7005,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7007,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7009,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7010,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7011,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7012,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7013,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7014,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7015,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7016,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7017,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7018,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR7020,BR,2,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
