actual_draw_year,model_target_year,boundary_id,hunt_code,hunt_name,sex_type,species,hunt_type,weapon,season,draw_design,points,record_type,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,resident_success_ratio,resident_p_draw,resident_p_draw_percent,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,nonresident_success_ratio,nonresident_p_draw,nonresident_p_draw_percent,total_eligible_applicants,total_bonus_permits,total_regular_permits,total_permits,total_success_ratio,total_p_draw,total_p_draw_percent,permits_year_res,permits_year_nr,permits_year_total,permits_2020_res,permits_2020_nr,permits_2020_total,source_scope,source_namespace,draw_source_namespace,source_file,pdf_page,page_kind,algorithm_status,source_dataset,extraction_status,parse_method,qa_status,notes,source_residencies,source_row_count,collapse_conflict_count,source_year,year,model_year,truth_year,permits_year,draw_source_file,source_path,source_pdf,official_page,raw_hunt_name,unit,sex,hunt_draw_class,hunt_class,row_type,successful_applicants,unsuccessful_applicants,candidate_promotion_status,qa_notes
2020,2021,,CG7503,Morgan-south Rich,Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,205,10,10,20,1 in 10.3,0.09756097561,9.75609756,27,1,1,2,1 in 13.5,0.07407407407,7.40740741,232,11,11,22,1 in 10.5,0.09482758621,9.75609756,20,2,22,20,2,22,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,6,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,6,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7506,"Wasatch Mtns, West-strawberry",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,530,5,5,10,1 in 53.0,0.01886792453,1.88679245,58,0,1,1,1 in 58.0,0.01724137931,1.72413793,588,5,6,11,1 in 53.5,0.01870748299,1.88679245,10,1,11,10,1,11,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,7,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,7,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7602,"West Desert, Tintic-vernon",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,84,6,5,11,1 in 7.6,0.130952381,13.0952381,1,0,1,1,1 in 1.0,1,100,85,6,6,12,1 in 7.1,0.1411764706,13.0952381,11,1,12,11,1,12,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,8,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,8,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7603,"Box Elder, Raft River",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,177,5,4,9,1 in 19.7,0.05084745763,5.08474576,11,0,1,1,1 in 11.0,0.09090909091,9.09090909,188,5,5,10,1 in 18.8,0.05319148936,5.08474576,9,1,10,9,1,10,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,9,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,9,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,887,TK1003,Central Region,Either Sex,Turkey,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,2893,60,60,120,1 in 24.1,0.04147943311,4.14794331,19,0,0,0,,0,0,2912,60,60,120,1 in 24.3,0.04120879121,4.14794331,120,,120,120,0,120,2020_turkey_bonus_points_draw_results(2).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_turkey_bonus_points_draw_results(2).pdf,2,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_turkey_bonus_points_draw_results(2).pdf,,2020_turkey_bonus_points_draw_results(2).pdf,2,19,,Either Sex,TURKEY,Youth,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=TURKEY; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,886,TK1004,Northeastern Region,Bearded,Turkey,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,908,63,66,129,1 in 7.0,0.1420704846,14.20704846,22,3,0,3,1 in 7.3,0.1363636364,13.63636364,930,66,66,132,1 in 7.0,0.1419354839,14.20704846,129,3,132,129,3,132,2020_turkey_bonus_points_draw_results(2).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_turkey_bonus_points_draw_results(2).pdf,3,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_turkey_bonus_points_draw_results(2).pdf,,2020_turkey_bonus_points_draw_results(2).pdf,3,19,,Bearded,TURKEY,Youth,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=TURKEY; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,888,TK1005,Northern Region,Bearded,Turkey,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,1720,102,103,205,1 in 8.4,0.1191860465,11.91860465,24,1,0,1,1 in 24.0,0.04166666667,4.16666667,1744,103,103,206,1 in 8.5,0.1181192661,11.91860465,205,1,206,205,1,206,2020_turkey_bonus_points_draw_results(2).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_turkey_bonus_points_draw_results(2).pdf,4,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_turkey_bonus_points_draw_results(2).pdf,,2020_turkey_bonus_points_draw_results(2).pdf,4,19,,Bearded,TURKEY,Youth,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=TURKEY; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,884,TK1006,Southeastern Region,Bearded,Turkey,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,856,80,81,161,1 in 5.3,0.1880841121,18.80841121,40,2,1,3,1 in 13.3,0.075,7.5,896,82,82,164,1 in 5.5,0.1830357143,18.80841121,161,3,164,161,3,164,2020_turkey_bonus_points_draw_results(2).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_turkey_bonus_points_draw_results(2).pdf,5,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_turkey_bonus_points_draw_results(2).pdf,,2020_turkey_bonus_points_draw_results(2).pdf,5,19,,Bearded,TURKEY,Youth,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=TURKEY; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,885,TK1007,Southern Region,Bearded,Turkey,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,3043,390,403,793,1 in 3.8,0.260598094,26.0598094,234,35,22,57,1 in 4.1,0.2435897436,24.35897436,3277,425,425,850,1 in 3.9,0.2593835825,26.0598094,793,57,850,793,57,850,2020_turkey_bonus_points_draw_results(2).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_turkey_bonus_points_draw_results(2).pdf,6,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_turkey_bonus_points_draw_results(2).pdf,,2020_turkey_bonus_points_draw_results(2).pdf,6,19,,Bearded,TURKEY,Youth,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=TURKEY; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,826,TK1018,Pahvant Ensign,Bearded,Turkey,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,137,6,5,11,1 in 12.5,0.0802919708,8.02919708,1,0,0,0,,0,0,138,6,5,11,1 in 12.5,0.07971014493,8.02919708,11,,11,11,0,11,2020_turkey_bonus_points_draw_results(2).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_turkey_bonus_points_draw_results(2).pdf,7,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_turkey_bonus_points_draw_results(2).pdf,,2020_turkey_bonus_points_draw_results(2).pdf,7,19,,Bearded,TURKEY,Youth,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=TURKEY; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
