actual_draw_year,model_target_year,boundary_id,hunt_code,hunt_name,sex_type,species,hunt_type,weapon,season,draw_design,points,record_type,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,resident_success_ratio,resident_p_draw,resident_p_draw_percent,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,nonresident_success_ratio,nonresident_p_draw,nonresident_p_draw_percent,total_eligible_applicants,total_bonus_permits,total_regular_permits,total_permits,total_success_ratio,total_p_draw,total_p_draw_percent,permits_2025_res,permits_2025_nr,permits_2025_total,source_scope,source_namespace,draw_source_namespace,source_file,pdf_page,page_kind,algorithm_status,source_dataset,extraction_status,parse_method,qa_status,notes,source_residencies,source_row_count,collapse_conflict_count,successful_applicants,unsuccessful_applicants
2025,2026,710,BR1016,San Juan,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,0,2,2,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,10,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
2025,2026,684,BR1017,La Sal,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,0,2,2,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,11,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
2025,2026,7,BR1008,Book Cliffs,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,28,,,,26,2,28,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,3,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,28,
2025,2026,684,BR1009,La Sal,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,15,,,,14,1,15,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,4,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,15,
2025,2026,710,BR1010,San Juan,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,15,,,,14,1,15,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,5,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,15,
2025,2026,7,BR1011,Book Cliffs,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,28,,,,26,2,28,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,6,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,28,
2025,2026,684,BR1012,La Sal,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,15,,,,14,1,15,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,7,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,15,
2025,2026,710,BR1013,San Juan,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,15,,,,14,1,15,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,8,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,15,
2025,2026,7,BR1015,Book Cliffs,Either Sex,Black Bear,O.T.C.,Pursuit Only,,Capped Permits,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,0,2,2,BEAR_PURSUIT_BONUS_DRAW,black_bear_2025_draw_odds_model_target_2026_permit_totals,black_bear_2025_draw_odds_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,9,,,black_bear_2025_draw_odds_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
2025,2026,1,BI6500,Antelope Island,Hunters Choice,Bison,Once-in-a-Lifetime,Any Legal Weapon,,Max/Weighted Split,,supplemental_permit_total_row,,,,,,,,,,,,,,,,,,2,,,,2,0,2,BISON_OIL_BONUS_DRAW,oil_2025_draw_results_model_target_2026_permit_totals,oil_2025_draw_results_model_target_2026_permit_totals,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,37,,,oil_2025_draw_results_model_target_2026_permit_totals,,,,Preserved supplemental normalized artifact for year-specific comparison.,total,1,0,2,
