local_path,local_basename,size_bytes,sha256,error
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf,162480,ef23cd88492b9f1093909f2e1b1df69d9c057bc175b3768c1aa9fc1f565715cd,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,135408,c23b83e42146e817760d4d4ee443e1345a4463cc0f712d6eed1c5957be654b9c,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS DEER DRAW RESULTS.pdf,195324,b33dbc30a2d55a1ea501130ecfe7a3e391d58f359a6f6cdab1411f3d20f54ffd,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS ELK DRAW RESULTS.pdf,638827,33876590904848a89d634886fc193d436f28084a93ce2d99b36e41c6b559ce85,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS MOOSE DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS MOOSE DRAW RESULTS.pdf,89999,74537d23c211334d2c299a8ce281c3cb8dc493a5decfd180b6546935277fb8a1,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS PRONGHORN DRAW RESULTS.pdf,199182,71187f0bd515837602296c4a29af5a49e5d9f8f8b5c51b71f08c0c6142de1d50,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__ANTLERLESS SUMMARY AND PURCHASE PAGES.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS SUMMARY AND PURCHASE PAGES.pdf,102101,13c3731641151574d6755bb434458daba1df71c39cc54370f212fdfd22438214,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,396452,497ea326c1a9d10f0baa946a59c0ad120bc95ac6214e6d40e3439225ed09f2e8,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__BLACK BEAR SUMMARY AND PURCHASE PAGES.pdf,2019_PERMITS=2020_MODEL__BLACK BEAR SUMMARY AND PURCHASE PAGES.pdf,73374,0de4e9cdf43054135f7d35d92d8f208a56a3ff6967291d36e4b8898cfa6eb65f,
C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,180565,7aee1718249bff1ca448be61ec184def74142dd444d5794353ac883756fd0126,
