resolved_year,family,title,official_basename,match_status,official_size_bytes,official_sha256,url,exact_hash_match_count,exact_hash_match_paths,basename_match_count,basename_match_paths
2025,BEAR,Drawing odds,25_drawing_odds.pdf,MISSING_LOCAL_EXACT,1641231,d18cf6df54d9e649ae945f43fe305bcad52410751bf2649f54713892483099e8,https://wildlife.utah.gov/pdf/bear/25_drawing_odds.pdf,0,,0,
2024,BEAR,Drawing odds,24_drawing_odds.pdf,MISSING_LOCAL_EXACT,434608,7285646f7a11b529256c3040278a345f6b3df0613950570c0a9901e42e1ec8ea,https://wildlife.utah.gov/pdf/bear/24_drawing_odds.pdf,0,,0,
2023,BEAR,Drawing odds,23_drawing_odds.pdf,EXACT_HASH_MATCH,444780,9726e78747de7634cb3d4038c3daf3665e142285ef7ecbdd342d0ac929cb0de3,https://wildlife.utah.gov/pdf/bear/23_drawing_odds.pdf,7,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\PARENT fILE\23_drawing_odds.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\2023_PERMITS=2024_MODEL__BLACK BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\_duplicate_archive\2023_PERMITS=2024_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\_duplicate_archive\23_drawing_odds.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\23_drawing_odds.pdf,3,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\PARENT fILE\23_drawing_odds.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\_duplicate_archive\23_drawing_odds.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\23_drawing_odds.pdf
2022,BEAR,Drawing odds,22_drawing_odds.pdf,EXACT_HASH_MATCH,409277,4d8c0ae1ee5bc644eb8433000fd5804c0acf6d24bae7a12eab3d093e5c1f7b6b,https://wildlife.utah.gov/pdf/bear/22_drawing_odds.pdf,4,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2022\.pdf\2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2022_PERMITS=2023_MODEL\2022_PERMITS=2023_MODEL__BLACK BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\bible_truth\pdf\2022_PERMITS=2023_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\draw_odds\2022 _black_bear_22_drawing_odds.pdf,0,
2021,BEAR,Drawing odds,21_drawing_odds.pdf,EXACT_HASH_MATCH,412627,286602b4504003ff871a9560092b94842e0df06f662c30bbeefc67db9149bc3b,https://wildlife.utah.gov/pdf/bear/21_drawing_odds.pdf,4,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\.pdf\2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2021_PERMITS=2022_MODEL\2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\bible_truth\pdf\2021_PERMITS=2022_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\b4710a7f__black_bear_21_drawing_odds.pdf,0,
2020,BEAR,Drawing odds,20_drawing_odds.pdf,EXACT_HASH_MATCH,415735,6a9aadf664bc7383fbd8b371e280d895cadae32a8fd29dd6ee1e143222d89ea6,https://wildlife.utah.gov/pdf/bear/20_drawing_odds.pdf,8,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\Parent Files\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\deduplicated_exact_hash_archive\2020_REBUILT_DATABASE_REPO_STRUCTURE_PACKAGE__data_truth__draw_results_truth__raw_pdf__2020_PERMITS=2021_MODEL__20_drawing_odds(2).pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\pdf\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2020_PERMITS=2021_MODEL\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2020\Parent Files\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2020\pdf\draw_odds\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\20_drawing_odds.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\97ffae94__black_bear_20_drawing_odds.pdf,1,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\20_drawing_odds.pdf
2019,BEAR,Drawing odds,19_drawing_odds.pdf,EXACT_HASH_MATCH,404916,79f6c6f06e460eb1da7aba34b7d404f5c0f255d1a78d0f22c796d664bdc2f17f,https://wildlife.utah.gov/pdf/bear/19_drawing_odds.pdf,2,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\Parent Folders\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2019\pdf\Parent Files\2019_PERMITS=2020_MODEL__BLACK BEAR DRAW RESULTS.pdf,0,
2023,COUGAR,Drawing odds,2023_cougar_odds_report.pdf,EXACT_HASH_MATCH,135475,b7296b69abc2622f8418ea97da29b80341117c62216b70f9b612fb74943f0807,https://wildlife.utah.gov/pdf/cougar/2023_cougar_odds_report.pdf,6,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2022\.pdf\2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\PARENT fILE\2023_cougar_odds_report.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2022_PERMITS=2023_MODEL\2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\2023_PERMITS=2024_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\bible_truth\pdf\2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\2023_cougar_odds_report.pdf,2,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\PARENT fILE\2023_cougar_odds_report.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\2023_cougar_odds_report.pdf
2022,COUGAR,Drawing odds,2022_cougar_odds_report.pdf,EXACT_HASH_MATCH,112876,49e82f3c79146e1139ee44c8252210740d3961499f94bcbac8941651fa455e55,https://wildlife.utah.gov/pdf/cougar/2022_cougar_odds_report.pdf,5,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\.pdf\2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\Parent Files\2021_cougar_odds_report.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2021_PERMITS=2022_MODEL\2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\bible_truth\pdf\2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\draw_odds\2022 cougar_Drawing odds.pdf,0,
2021,COUGAR,Drawing odds,2021_cougar_odds_report.pdf,EXACT_HASH_MATCH,126818,67c960e2cf7750f0f42cf771f9f6ee56b3d66438a9ab1347751a1a17961432ca,https://wildlife.utah.gov/pdf/cougar/2021_cougar_odds_report.pdf,7,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\Parent Files\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\deduplicated_exact_hash_archive\2020_REBUILT_DATABASE_REPO_STRUCTURE_PACKAGE__data_truth__draw_results_truth__raw_pdf__2020_PERMITS=2021_MODEL__2020_cougar_odds_report(3).pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\pdf\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2020_PERMITS=2021_MODEL\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2020\Parent Files\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2020\pdf\draw_odds\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\pdf\draw_odds\80165f60__cougar_Drawing odds.pdf,1,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\Parent Files\2021_cougar_odds_report.pdf
2020,COUGAR,Drawing odds,2020_cougar_odds_report.pdf,EXACT_HASH_MATCH,162480,ef23cd88492b9f1093909f2e1b1df69d9c057bc175b3768c1aa9fc1f565715cd,https://wildlife.utah.gov/pdf/cougar/2020_cougar_odds_report.pdf,6,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\Parent Folders\2019_PERMITS=2020_MODEL__L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\pdf\2019_PERMITS=2020_MODEL__L.E.COUGAR_DRAW_RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL_L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2019\pdf\Parent Files\2019_PERMITS=2020_MODEL__L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2019\pdf\bible_truth\pdf\2019_PERMITS=2020_MODEL__L.E. COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2019\pdf\draw_results\2019_PERMITS=2020_MODEL__L.E.COUGAR_DRAW_RESULTS.pdf,0,
2019,COUGAR,Drawing odds,2019_cougar_odds_report.pdf,MISSING_LOCAL_EXACT,168152,b39e97b45e3fbc7f215b2c317ad4aa76064e2166d1a29e29de826090b1914189,https://wildlife.utah.gov/pdf/cougar/2019_cougar_odds_report.pdf,0,,0,
2025,TURKEY,Drawing results and bonus point purchase results,2025_turkey_bonus_points_draw_results.pdf,MISSING_LOCAL_EXACT,236278,121da5c9c837490df1a61b1ec3482c57a35f90592909516b43dce8f69acf2e69,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_turkey_bonus_points_draw_results.pdf,0,,0,
2025,TURKEY,Youth drawing results,2025_youth_turkey_draw_results.pdf,EXACT_HASH_MATCH,228604,24db62fb6252f0184505aa2c0245470a880ecc3a511a12afd14c3fb32510bb87,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_youth_turkey_draw_results.pdf,7,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2025\.pdf\2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2025\.pdf\2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2025_PERMITS=2026_MODEL\2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2025_PERMITS=2026_MODEL\2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\bible_truth\pdf\2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\bible_truth\pdf\2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\pdf\draw_odds\2025 Turkey Draw Results.pdf,0,
2024,TURKEY,Drawing results and bonus point purchase results,2024_turkey_bonus_points_draw_results.pdf,EXACT_HASH_MATCH,127013,0c94483fe4320609d0bde37e6e4420e870b66c7b2eacd6493b2845fd9cca7ec9,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_turkey_bonus_points_draw_results.pdf,3,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2024\.pdf\2024_PERMITS=2025_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2024_PERMITS=2025_MODEL\2024_PERMITS=2025_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\bible_truth\pdf\2024_PERMITS=2025_MODEL__TURKEY DRAW RESULTS.pdf,0,
2024,TURKEY,Youth drawing results,2024_youth_turkey_draw_results.pdf,EXACT_HASH_MATCH,122906,63e698dc23d9e01bc22a9e66ec46fe31cfacac235dc81ca01c2f7de8352b1492,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_youth_turkey_draw_results.pdf,3,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2024\.pdf\2024_PERMITS=2025_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2024_PERMITS=2025_MODEL\2024_PERMITS=2025_MODEL__YOUTH TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\bible_truth\pdf\2024_PERMITS=2025_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,0,
2023,TURKEY,Drawing results and bonus point purchase results,2023_turkey_bonus_points_draw_results.pdf,EXACT_HASH_MATCH,131980,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,https://wildlife.utah.gov/pdf/uplandgame/turkey/2023_turkey_bonus_points_draw_results.pdf,6,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\.pdf\2023_PERMITS=2024_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\PARENT fILE\2023 _turkey_2023_turkey_bonus_points_draw_results.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\2023_PERMITS=2024_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\_duplicate_archive\2023 _turkey_2023_turkey_bonus_points_draw_results.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\bible_truth\pdf\2023_PERMITS=2024_MODEL__TURKEY DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,0,
