year,family,title,official_basename,url,official_size_bytes,official_sha256,match_status,exact_hash_match_count,exact_hash_match_paths,basename_match_count,basename_match_paths
,BEAR,Drawing odds,16_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/16_drawing_odds.pdf,37492,04853cdbf8c7d130f19afe893f394e7e24a0f0a8c0563a2b7cf030210e99205f,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Bonus point results,16_bonus_points.pdf,https://wildlife.utah.gov/pdf/bear/16_bonus_points.pdf,276093,a856b7e7f916c1862120a5913714709a51334398da3f81eda59333d474a12d1c,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Drawing odds,15_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/15_drawing_odds.pdf,33992,2b9ad051dbfd335a989f3c30eec93c93a05cbf4964eb4790f841d57d800547a8,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Bonus point results,15_bonus_points.pdf,https://wildlife.utah.gov/pdf/bear/15_bonus_points.pdf,272962,d509e841e032d1f260a6335525591b8d77f02a14917e55038c4c48dd46f33f58,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Drawing odds,14_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/14_drawing_odds.pdf,202082,e1623cc7e54dbfddae6b58626c3c9ef77443c9d876ef9dd003bc0d1093e34639,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Drawing odds,13_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/13_drawing_odds.pdf,37498,c8aec27ea5bcd4f53447359cb8c1340d3eb961baeac7f76b1f5c256d8ac79239,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Bonus point results,13_bonus_points.pdf,https://wildlife.utah.gov/pdf/bear/13_bonus_points.pdf,200616,19d86136c44a15cecd17b04ff7f0f443c18b8021cb6296e368e5c457c107703d,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Drawing odds,12_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/12_drawing_odds.pdf,37543,9151107099a0afc899f60e420dc8aabe591083564f788efeba2040b5b2b37985,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Bonus point results,12_bonus_points.pdf,https://wildlife.utah.gov/pdf/bear/12_bonus_points.pdf,207966,c690e5bfba81fc7f02513afc2fdd457af861659db1eaa77bfc6d47423d9292ad,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Drawing odds,11_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/11_drawing_odds.pdf,27465,ee42ce50167909d785a9b755aef7536dd13b37d2f18673b78e49f3eeebc9dafd,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Bonus point results,11_bonus_points.pdf,https://wildlife.utah.gov/pdf/bear/11_bonus_points.pdf,183223,d9fad8626e642de48be0d0104778571cd4b2fefa9ff38fbff0c8a0e433e90028,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Drawing odds,10_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/10_drawing_odds.pdf,20428,6b4be26c2dc018f6c20fbc3c33679d6490292040d02ff37037e61b8794062ec7,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Bonus point results,10_bonus_points.pdf,https://wildlife.utah.gov/pdf/bear/10_bonus_points.pdf,132146,916457eec20c8667237a50176af851bc752f6d3fc36944cfc8993b9c15ccc85c,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Drawing odds,09_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/09_drawing_odds.pdf,20192,54f5183f00b51519a31a81014ae72ac49b2314fa6e43043d253132a8fe33cc43,MISSING_LOCAL_EXACT,0,,0,
,BEAR,Bonus point results,09_bonus_points.pdf,https://wildlife.utah.gov/pdf/bear/09_bonus_points.pdf,136566,863807006f0e45c2f2cd481ea5b977ac63d52fea0e12b749788f3e758e4561f0,MISSING_LOCAL_EXACT,0,,0,
,COUGAR,Drawing odds,2023_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2023_cougar_odds_report.pdf,135475,b7296b69abc2622f8418ea97da29b80341117c62216b70f9b612fb74943f0807,EXACT_HASH_MATCH,6,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2022\.pdf\2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\PARENT fILE\2023_cougar_odds_report.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2022_PERMITS=2023_MODEL\2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2023_PERMITS=2024_MODEL\2023_PERMITS=2024_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\bible_truth\pdf\2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\2023_cougar_odds_report.pdf,2,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2023\PARENT fILE\2023_cougar_odds_report.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\draw_odds\2023_cougar_odds_report.pdf
,COUGAR,Drawing odds,2022_cougar_odds_report.pdf,https://wildlife.utah.gov/pdf/cougar/2022_cougar_odds_report.pdf,112876,49e82f3c79146e1139ee44c8252210740d3961499f94bcbac8941651fa455e55,EXACT_HASH_MATCH,5,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\.pdf\2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\BIBLE HUNT CODES\2021\Parent Files\2021_cougar_odds_report.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\raw_pdfs\2021_PERMITS=2022_MODEL\2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2021\bible_truth\pdf\2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf | C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\draw_odds\2022 cougar_Drawing odds.pdf,0,
