reported_hunt_year,model_target_year,hunt_code,species,sex_type,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,harvest_unknown,percent_success,average_days,hunter_satisfaction,average_age,average_age_3yr_reported,average_age_source_file,average_age_source_page,average_age_source_table_title,average_age_crosswalk_confidence,average_age_mapping_status,male_harvest,female_harvest,harvest_objective,source_file,source_page,source_container,source_member,source_kind,source_priority,source_status,parse_status,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags,recommended_use
2005,2006,DB1000,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1001,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1003,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1004,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1005,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1006,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1007,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1008,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1010,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
2005,2006,DB1058,Mule Deer,,,,,,,,,,,,,,,,,,,,,,,,,22_bg_report.pdf,33,pipeline\RAW\hunt_unit_database\2023\big_game_2022_for_2023_harvest_age_database_package.zip,average_harvest_age_2022_for_2023_all_available.csv,zip_species_or_supplement,45,,,True,True,,,
