reported_hunt_year,model_target_year,species,source_unit_name,age_objective,average_harvest_age_2023,average_harvest_age_2024,average_harvest_age,average_harvest_age_3yr,age_source_file,age_source_url,age_source_sha256,age_source_page,age_source_table_title
2025,2026,Elk,Diamond Mtn,5.5-6.0,7.0,7.1,6.8,7.0,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Dolores Triangle,5.5-6.0,,9.0,,9.0,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,"Fillmore, Pahvant",6.5-7.0,7.7,8.0,7.1,7.6,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Fishlake/Thousand Lakes,5.5-6.0,7.5,6.6,6.8,7.0,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,La Sal Mtns,5.5-6.0,5.7,6.3,5.9,6.0,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Manti,5.5-6.0,6.3,6.0,5.8,6.0,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Monroe,6.0-6.5,9.1,8.3,8.8,8.7,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Mt Dutton,6.0-6.5,7.8,8.0,7.6,7.8,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Nebo/San Pitch Mtns,5.5-6.0,6.6,7.1,7.0,6.9,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,"North Slope, Three Corners",5.5-6.0,5.7,4.8,6.1,5.5,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Panguitch Lake,6.0-6.5,7.8,7.9,7.3,7.7,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,San Juan Bull Elk,6.5-7.0,7.6,7.9,8.1,7.9,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,"Southwest Desert, North",3.5-4.5,8.1,9.5,7.9,8.5,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,"Southwest Desert, South",6.0-6.5,8.1,8.4,8.0,8.2,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,Wasatch Mtns,5.5-6.0,5.0,5.2,5.0,5.1,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Elk,"West Desert, Deep Creek",3.5-4.5,7.4,8.2,7.1,7.6,table-2026-04-01-bull-elk-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-bull-elk-tables.pdf,3d50bc0a24b51f30263df4e1d157cff773d09cb9724f20fec86bf7d3d0bfc02b,2,2026 LIMITED ENTRY ELK AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Beaver,2.0 - 3.0,4.0,5.1,3.8,4.3,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Book Cliffs, Bitter Creek",2.0 - 3.0,4.6,4.0,3.3,4.0,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Book Cliffs, South",2.0 - 3.0,3.9,4.2,3.4,3.8,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Box Elder, Promontory",2.0 - 3.0,3.6,2.8,2.4,2.9,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Box Elder, Puddle Valley",2.0 - 3.0,3.5,2.9,2.4,2.9,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Box Elder, Snowville",2.0 - 3.0,3.1,3.2,2.7,3.0,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Box Elder, West",2.0 - 3.0,3.6,2.4,3.4,3.1,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Cache, Rich",2.0 - 3.0,2.0,4.0,2.4,2.8,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Diamond Mtn/Bonanza,2.0 - 3.0,3.9,3.3,3.4,3.5,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"Fillmore, Oak Creek South",2.0 - 3.0,5.3,4.6,3.7,4.5,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Kaiparowits,2.0 - 3.0,5.0,,,5.0,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,"La Sal, Potash/South Cisco",2.0 - 3.0,4.1,3.1,2.8,3.3,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Morgan-South Rich,2.0 - 3.0,2.9,3.3,3.2,3.1,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
2025,2026,Pronghorn,Mt Dutton/Paunsaugunt,2.0 - 3.0,3.4,3.6,2.3,3.1,table-2026-04-01-pronghorn-tables.pdf,https://wildlife.utah.gov/pdf/meetings/rac/table-2026-04-01-pronghorn-tables.pdf,661c9b99feed062c96474a2f31e9d2a921dd730eee547fd1a2242ad408e477f5,1,2026 BUCK PRONGHORN AVERAGE AGES AND OBJECTIVES
