source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_DEER_BUCK_DRAW.xlsx,Sheet,Paunsaugunt,DB1010,Buck,Deer,Any Legal Weapon,Management Buck Deer,Nov 02 2026 - Nov 20 2026,30,3,33,MAX / RANDOM DRAW,92.9,5.3,,4.9
2026_DEER_BUCK_DRAW.xlsx,Sheet,Book Cliffs,DB1011,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,55,6,61,MAX / RANDOM DRAW,88,,,6.6
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Fillmore, Oak Creek LE",DB1012,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,12,1,13,MAX / RANDOM DRAW,84.6,,,9.2
2026_DEER_BUCK_DRAW.xlsx,Sheet,Dolores Triangle,DB1013,Buck,Deer,Archery,Limited Entry,Oct 31 2026 - Nov 13 2026,5,0,5,MAX / RANDOM DRAW,50,,,7.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,"San Juan, Elk Ridge",DB1014,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,15,2,17,MAX / RANDOM DRAW,100,,,5.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,Diamond Mtn,DB1015,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,22,2,24,MAX / RANDOM DRAW,86.4,,,7.6
2026_DEER_BUCK_DRAW.xlsx,Sheet,"West Desert, Vernon",DB1016,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,46,5,51,MAX / RANDOM DRAW,56.9,,,8.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Book Cliffs, North",DB1017,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,137,15,152,MAX / RANDOM DRAW,93.6,,,3.7
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Book Cliffs, South",DB1018,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,34,4,38,MAX / RANDOM DRAW,100,,,3.7
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Fillmore, Oak Creek LE",DB1019,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,33,4,37,MAX / RANDOM DRAW,95,,,4.4
