source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ELK_BULL_CWMU.xlsx,Sheet,Double R Ranch CWMU,EB3604,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,3.4
2026_ELK_BULL_CWMU.xlsx,Sheet,Mountain Sky Ranch CWMU,EB3606,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,4.5
2026_ELK_BULL_CWMU.xlsx,Sheet,West Willow Creek Ranch CWMU,EB3607,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,40,,,7.5
2026_ELK_BULL_CWMU.xlsx,Sheet,Avintaquin Canyon CWMU,EB3608,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,3
2026_ELK_BULL_CWMU.xlsx,Sheet,Sharp Mountain CWMU,EB3610,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,2,MAX / RANDOM DRAW,100,,,4.1
2026_ELK_BULL_CWMU.xlsx,Sheet,West Ridge CWMU,EB3611,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,2,0,2,MAX / RANDOM DRAW,58.8,,,7.1
2026_ELK_BULL_CWMU.xlsx,Sheet,Little Pole Canyon CWMU,EB3613,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,3.7
2026_ELK_BULL_CWMU.xlsx,Sheet,Tunnel Hollow CWMU,EB3614,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,75,,,4.3
2026_ELK_BULL_CWMU.xlsx,Sheet,Weber Florence Creek/Stillman Creek CWMU,EB3619,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,10,0,10,MAX / RANDOM DRAW,87.9,,,3.4
2026_ELK_BULL_CWMU.xlsx,Sheet,The Dirty Dozen,EB3620,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,,,,
