source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Cache, Rich",EA1010,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,18,2,20,PREFERENCE DRAW,13.3,,,3.4
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Cache, Richards Hollow",EA1011,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 31 2025,9,1,10,PREFERENCE DRAW,16.7,,,3.8
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Cache, Richmond Hyde Park",EA1012,Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2025 - Dec 01 2025,4,1,5,PREFERENCE DRAW,66.7,,,15
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Manti, Central",EA1013,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,70,PREFERENCE DRAW,49.2,6.5,,4.1
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Manti, Ferron Canyon",EA1015,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,70,PREFERENCE DRAW,45.6,,,4.7
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Manti, Gordon Creek-Price Canyon",EA1017,Antlerless,Elk,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,90,10,100,PREFERENCE DRAW,33.3,,,9.5
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Manti, Horn Mtn",EA1018,Antlerless,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Dec 31 2025,54,6,60,PREFERENCE DRAW,69.8,,,5.7
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Manti, Mohrland-Stump Flat",EA1020,Antlerless,Elk,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,108,12,120,PREFERENCE DRAW,37.2,,,10.8
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,Nebo,EA1021,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,207,23,230,PREFERENCE DRAW,44.5,7.2,,4.3
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Manti, North",EA1022,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,270,30,300,PREFERENCE DRAW,34.9,6.5,,4.7
2026_ANTLERLESS_ELK_GENERAL_SEASON.xlsx,Sheet,"Manti, South",EA1023,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,90,10,100,PREFERENCE DRAW,35.5,6.5,,4.4
