source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Alton CWMU,EA1118,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,6,PREFERENCE DRAW,20,,,7.2
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Bar J Ranch CWMU,EA1119,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,12,PREFERENCE DRAW,75,,,2.4
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Bear Mountain CWMU,EA1120,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,20,0,20,PREFERENCE DRAW,47.4,,,3
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Boobe Hole CWMU,EA1121,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,10,0,10,PREFERENCE DRAW,70,,,1.5
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Causey Spring CWMU,EA1122,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,5,PREFERENCE DRAW,20,,,6.2
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Chimney Rock CWMU,EA1124,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,12,0,12,PREFERENCE DRAW,93.3,,,3.3
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Coldwater Ranch CWMU,EA1125,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,25,0,25,PREFERENCE DRAW,100,,,1.3
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Deseret CWMU,EA1129,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,425,0,425,PREFERENCE DRAW,57.2,,,2.7
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Double Cone CWMU,EA1130,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,7,0,7,PREFERENCE DRAW,66.7,,,2.2
2026_ELK_ANTLERLESS_CWMU.xlsx,Sheet,Durst Mountain CWMU,EA1131,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,30,0,30,PREFERENCE DRAW,72.7,,,1.8
