source_file,rows
2025_PERMITS=2026_MODEL__L.E. BULL ELK DRAW RESULTS.pdf,13860
2025_PERMITS=2026_MODEL__L.E. BUCK DEER DRAW RESULTS.pdf,12870
2025_PERMITS=2026_MODEL__(ANTLERLESS ELK) DRAW RESULTS.pdf,6720
2025_PERMITS=2026_MODEL__L.E. BUCK PRONGHORN DRAW RESULTS.pdf,5808
2025_PERMITS=2026_MODEL__YOUTH_ANTLERLESS_ELK_DRAW_RESULTS.pdf,5024
2025_PERMITS=2026_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,4876
2025_PERMITS=2026_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,4664
2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,4462
2025_PERMITS=2026_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,4326
2025_PERMITS=2026_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,2376
2025_PERMITS=2026_MODEL__D.H. DEER DRAW RESULTS.pdf,1302
2025_PERMITS=2026_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,1188
2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,1122
2025_PERMITS=2026_MODEL__O.I.L. BISON DRAW RESULTS.pdf,990
2025_PERMITS=2026_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,990
2025_PERMITS=2026_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,966
2025_PERMITS=2026_MODEL__(DOE PRONGHORN) DRAW RESULTS.pdf,920
2025_PERMITS=2026_MODEL__(ANTLERLESS DEER) DRAW RESULTS.pdf,800
2025_PERMITS=2026_MODEL__YOUTH_ANTLERLESS_PRONGHORN_DRAW_RESULTS.pdf,704
2025_PERMITS=2026_MODEL__YOUTH_ANTLERLESS_DEER_DRAW_RESULTS.pdf,640
2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,280
2025_PERMITS=2026_MODEL__(ANTLERLESS BIG GAME) DRAW RESULTS.pdf,240
pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 LE Deer Draw Results.pdf,195
pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,101
pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,97
2025_PERMITS=2026_MODEL__YOUTH ELK DRAW RESULTS.pdf,66
