source_classification,rows
LIMITED_ENTRY_ELK,13860
LIMITED_ENTRY_DEER,12870
ANTLERLESS_ELK,6720
LIMITED_ENTRY_PRONGHORN,5808
YOUTH_ANTLERLESS_ELK,5024
GENERAL_SEASON_DEER,4830
YOUTH_GENERAL_SEASON_DEER,4620
LIFETIME_GENERAL_SEASON_DEER,4326
BLACK_BEAR,4048
OIL_BULL_MOOSE,2376
DEDICATED_HUNTER_DEER,1302
OIL_DESERT_BIGHORN_SHEEP,1188
OIL_MTN_GOAT,1122
OIL_BISON,990
OIL_ROCKY_MTN_SHEEP,990
YOUTH_DEDICATED_HUNTER_DEER,966
ANTLERLESS_PRONGHORN,920
ANTLERLESS_DEER,800
YOUTH_ANTLERLESS_PRONGHORN,704
YOUTH_ANTLERLESS_DEER,640
BEAR_RESTRICTED_PURSUIT,414
ANTLERLESS_MOOSE,200
YOUTH_TURKEY,200
LIMITED_ENTRY_DEER_BONUS_DRAW,195
TRUE_BEAR_BONUS_DRAW,88
YOUTH_TURKEY_CWMU,80
YOUTH_GENERAL_SEASON_ANY_BULL_ELK,66
EXTENDED_ARCHERY_DEER,46
YOUTH_EXTENDED_ARCHERY_DEER,44
ANTLERLESS_ROCKY_MOUNTAIN_BIGHORN_SHEEP,40
MOOSE_OIL_BONUS_DRAW,36
DESERT BIGHORN SHEEP_OIL_BONUS_DRAW,18
MOUNTAIN GOAT_OIL_BONUS_DRAW,17
BISON_OIL_BONUS_DRAW,15
ROCKY MOUNTAIN BIGHORN SHEEP_OIL_BONUS_DRAW,15
BEAR_PURSUIT_BONUS_DRAW,9
