row_number,hunt_code,source_file_before,source_file_after,source_classification_before,source_classification_after,normalized_family_before,normalized_family_after,numeric_fields_changed
2,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
3,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
4,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
5,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
6,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
7,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
8,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
9,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
10,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
11,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
12,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
13,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
14,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
15,BR1008,2025 Black Bear Draw odds.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,,BEAR_RESTRICTED_PURSUIT,BLACK_BEAR,BLACK_BEAR,false
