actual_draw_year,model_target_year,source_scope,source_namespace,draw_source_namespace,source_file,pdf_page,page_kind,hunt_code,hunt_name,species,sex_type,draw_design,weapon,hunt_type,season,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio,p_draw,p_draw_percent,record_type,boundary_id,algorithm_status,source_dataset,extraction_status,parse_method,qa_status,notes,permits_2026_res,permits_2026_nr,permits_2026_total
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,6,5,0,0,0,N/A,,N/A,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,7,8,0,1,1,0.125,0.125,12.5,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,8,4,0,1,1,0.25,0.25,25,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,9,5,0,0,0,N/A,,N/A,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,10,3,3,0,3,1,1,100,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,11,1,1,0,1,1,1,100,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,12,1,1,0,1,1,1,100,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7000,Beaver,Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Resident,13,0,0,0,0,N/A,,N/A,point_level_draw_result,628,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,9,1,10
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7001,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Nonresident,0,4,0,0,0,N/A,,N/A,point_level_draw_result,449,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,49,5,54
2026,2027,BLACK_BEAR,2026_PERMITS=2027_MODEL_LIVE_PLUS_PDF_DENSE,2026_LIVE_PLUS_PDF_DENSE_RECONCILED,UtahDraws live DrawOddsData: Black Bear:Limited-Entry,,POINT_ROW,BR7001,"Book Cliffs, Bitter Creek/South",Black Bear,Either Sex,Max/Weighted Split,Any Legal Weapon,Limited Entry,Spring,Nonresident,1,3,0,0,0,N/A,,N/A,point_level_draw_result,449,Live UtahDraws 2026 pull refreshed on 2026-06-18; official applicant/success fields used directly.,UTAHDRAWS_2026_LIVE_DRAW_ODDS_REFRESH_20260618,LIVE_UTAHDRAWS_REFRESH,2026_ACCEPTED_DENSE_CANDIDATE_TO_LONG_SCHEMA,CONFIRMED_CANONICAL_SCORABLE,2026_black_bear_01_black_bear,49,5,54
