publish_year,label,url,status,dest_path
2025,harvest_report,https://wildlife.utah.gov/pdf/bg/2025/2025_gs_buck_deer_hr-preliminary.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\5b0dcd90__harvest_report.pdf
2025,Bighorn sheep,https://wildlife.utah.gov/pdf/sheep/2025_sheep/2025-harvest-data.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\ced965b7__Bighorn sheep.pdf
2024,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2024/2024_gs_buck_deer_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\harvest_report\8221a315__General-season buck deer.pdf
2024,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2024/2024_le_oial_all.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\harvest_report\f539f2a2__Limited-entry and once-in-a-lifetime species.pdf
2024,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2024/2024_antlerless_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\harvest_report\8e431263__Antlerless big game.pdf
2024,Bighorn sheep,https://wildlife.utah.gov/pdf/sheep/2024_sheep/2024-harvest-data.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2024\pdf\harvest_report\0c825d9f__Bighorn sheep.pdf
2023,General-season buck deer,https://wildlife.utah.gov/pdf/bg/2023/2023_gs_buck_deer_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\dc965eb4__General-season buck deer.pdf
2023,Limited-entry and once-in-a-lifetime species,https://wildlife.utah.gov/pdf/bg/2023/2023_le_oial_all.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\ba50f481__Limited-entry and once-in-a-lifetime species.pdf
2023,Antlerless big game,https://wildlife.utah.gov/pdf/bg/2023/2023_antlerless_hr.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\ca8a3d7c__Antlerless big game.pdf
2023,Bighorn sheep,https://wildlife.utah.gov/pdf/sheep/2023_sheep/2023-harvest-data.pdf,skipped_exists,C:\Users\tyler\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\pdf\harvest_report\511cf725__Bighorn sheep.pdf
