year,model_year,hunt_code,residency,pdf_parent_apps,pdf_parent_permits,collapsed_apps_used_before,collapsed_permits_used_before,adult_source_apps,adult_source_permits,youth_source_apps_accidentally_added,youth_source_permits_accidentally_added,adult_matches_pdf,collapsed_matches_pdf,issue
2023,2024,DA1001,Nonresident,3,1,3,1,3,1,0,0,TRUE,TRUE,CHECK_PARSER_OR_SOURCE_MAPPING
2023,2024,DA1001,Resident,87,23,94,29,87,23,7,6,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1002,Nonresident,1,0,1,0,1,0,0,0,TRUE,TRUE,CHECK_PARSER_OR_SOURCE_MAPPING
2023,2024,DA1002,Resident,106,24,123,30,106,24,17,6,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1003,Nonresident,5,0,5,0,5,0,0,0,TRUE,TRUE,CHECK_PARSER_OR_SOURCE_MAPPING
2023,2024,DA1003,Resident,345,12,391,15,345,12,46,3,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1009,Nonresident,163,3,170,5,163,3,7,2,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1009,Resident,1250,17,1364,20,1250,17,114,3,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1011,Nonresident,0,0,0,0,0,0,0,0,TRUE,TRUE,CHECK_PARSER_OR_SOURCE_MAPPING
2023,2024,DA1011,Resident,113,4,128,5,113,4,15,1,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1012,Nonresident,0,0,0,0,0,0,0,0,TRUE,TRUE,CHECK_PARSER_OR_SOURCE_MAPPING
2023,2024,DA1012,Resident,463,16,540,20,463,16,77,4,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1013,Nonresident,0,0,0,0,0,0,0,0,TRUE,TRUE,CHECK_PARSER_OR_SOURCE_MAPPING
2023,2024,DA1013,Resident,164,4,191,5,164,4,27,1,TRUE,FALSE,GROUPING_COLLAPSED_ADULT_AND_YOUTH_SHARED_HUNT_CODE
2023,2024,DA1018,Nonresident,18,3,18,3,18,3,0,0,TRUE,TRUE,CHECK_PARSER_OR_SOURCE_MAPPING
