file_label,file_path,hunt_code,boundary_id_filled,mapping_source,rows_filled,sample_hunt_name,sample_species,sample_sex_type,sample_weapon,sample_hunt_type
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3035,36,local_db_unique,28,"Cache, North",Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3040,616,local_db_unique,28,"Central Mtns, Nebo",Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3041,616,local_db_unique,28,"Central Mtns, Nebo",Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3054,622,local_db_unique,28,Oquirrh-stansbury,Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3055,622,local_db_unique,28,Oquirrh-stansbury,Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3061,455,local_db_unique,28,"Plateau, Boulder/kaiparowits",Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3062,455,local_db_unique,28,"Plateau, Boulder/kaiparowits",Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3082,36,local_db_unique,28,"Cache, North",Elk,Bull,Muzzleloader,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3085,616,local_db_unique,28,"Central Mtns, Nebo",Elk,Bull,Muzzleloader,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3095,455,local_db_unique,28,"Plateau, Boulder/kaiparowits",Elk,Bull,Muzzleloader,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3106,36,local_db_unique,28,"Cache, North",Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3109,616,local_db_unique,28,"Central Mtns, Nebo",Elk,Bull,Any Legal Weapon,Limited Entry
canonical,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,EB3119,455,local_db_unique,28,"Plateau, Boulder/kaiparowits",Elk,Bull,Any Legal Weapon,Limited Entry
