source_file,blank_count
19_bg-odds(1).pdf,26374
19_antlerless_drawing_odds_report(1).pdf,7194
19_youth_antlerless_drawing_odds_report(1).pdf,7192
19_lifetime_deer.pdf,3832
19_youth_deer(1).pdf,3660
19_drawing_odds(1).pdf,3408
19_deer_odds(1).pdf,3182
19_dh_odds.pdf,1135
19_youth_dh_odds(1).pdf,907
2020_cougar_odds_report(2).pdf,785
2019_youth_turkey_bonus_points(1).pdf,219
2019_turkey_bonus_points(1).pdf,185
19_youth_bull_elk(1).pdf,52
