source_file,blank_count
19_bg-odds(1).pdf,2800
19_antlerless_drawing_odds_report(1).pdf,2040
19_youth_antlerless_drawing_odds_report(1).pdf,1734
2020_cougar_odds_report(2).pdf,1008
19_drawing_odds(1).pdf,420
19_deer_odds(1).pdf,176
19_lifetime_deer.pdf,176
19_youth_deer(1).pdf,176
19_youth_dh_odds(1).pdf,44
19_dh_odds.pdf,44
19-20_sportsman_odds(1).pdf,1
