hunt_code,blank_count
DB1514,122
DB1587,121
DB1508,120
DB1527,120
DB1588,120
DB1504,119
DB1520,119
DB1572,119
DB1574,119
DB1502,118
DB1568,118
DB1501,117
DB1505,117
DB1506,117
DB1513,116
DB1515,116
DB1538,116
DB1561,116
DB1573,116
DB1511,115
DB1512,115
DB1562,115
DB1565,115
DB1575,115
DB1581,115
DB1582,115
DB1564,114
DB1566,114
DB1569,114
DB1584,114
DB1593,114
DB1519,113
DB1522,113
DB1558,113
DB1578,113
DB1583,113
DB1585,113
DB1586,113
DB1589,113
DB1509,112
DB1521,112
DB1525,112
DB1544,112
DB1592,112
DB1500,111
DB1503,111
DB1510,111
DB1523,111
DB1524,111
DB1526,111
DB1532,111
DB1543,111
DB1553,111
DB1557,111
DB1570,111
DB1571,111
DB1590,111
DB1531,110
DB1534,110
DB1551,110
DB1560,110
DB1579,110
DB1591,110
DB1518,109
DB1539,109
DB1541,109
DB1542,109
DB1546,109
DB1556,109
DB1563,109
DB1597,109
DB1529,108
DB1535,108
DB1576,108
DB1580,108
DB1516,107
DB1517,107
DB1536,107
DB1545,107
DB1533,106
DB1596,106
DB1549,105
DB1594,105
DB1552,104
DB1554,104
DB1548,103
DB1555,103
DB1577,103
DB1530,102
DB1540,102
DB1559,102
DB1547,101
DB1550,98
DB1595,97
DB1771,83
DB1791,83
DB1796,83
DB1773,82
DB1781,82
DB1775,81
